group,search_query,search_rank,search_pv,assistant_surface,assistant_query,assistant_pv,pair_cos,assistant_nn,assistant_nn_sim,link
A 加入第二个人/关系,孙宇晨,2403,629,助手top1k,孙宇晨和景甜的关系如何,447,0.604,孙宇晨,0.604,近邻
A 加入第二个人/关系,杨绛先生的简介,3368,462,助手random1k,杨绛的丈夫是谁,1,0.788,杨绛先生的简介,0.788,近邻
B 问原因/来龙去脉,陈武,6035,286,助手top1k,陈武同志的逝世原因是什么,512,0.635,陈武,0.635,近邻
B 问原因/来龙去脉,孙殿英,856,1528,助手random1k,孙殿英晚年结局如何,1,0.711,孙殿英,0.711,近邻
C 从资料卡转向私生活/财富,景甜个人简介,6113,282,助手top1k,景甜的个人生活如何,512,0.828,景甜个人简介,0.828,近邻
C 从资料卡转向私生活/财富,周杰伦个人资料简介,3312,468,助手random1k,周杰伦的资产总额有多少,1,0.612,周杰伦多大,0.668,同实体字符串匹配
D 要判断/比较/排名,十大元帅,852,1529,助手top1k,十大元帅中谁最厉害,113,0.786,十大元帅,0.786,近邻
D 要判断/比较/排名,上海市委现任书记是谁,6617,262,助手random1k,上海历任市长和市委书记中谁最著名,1,0.848,上海市委现任书记是谁,0.848,近邻
E 加时间: 近况与现任,耿彦波,1661,859,助手top1k,耿彦波现在什么职位,138,0.796,耿彦波,0.796,近邻
E 加时间: 近况与现任,任振鹤,5132,332,助手random1k,任振鹤省长最新任职,1,0.746,任振鹤,0.746,近邻
F 从资料/打榜转向清单与量化,田栩宁百科个人资料大全,188,4006,助手top1k,田栩宁的代表作品有哪些,1052,0.721,田栩宁的个人简介,0.804,同实体字符串匹配
F 从资料/打榜转向清单与量化,梓渝的影响力,917,1487,助手top1k,梓渝的粉丝群体规模有多大,508,0.807,梓渝的影响力,0.807,近邻
