source,label,rank,query,pv_raw,tier
2025search,启动翻译工具或查询英汉词句,top_pv,翻译,102629.0,user
2025search,启动翻译工具或查询英汉词句,top_pv,翻译在线,20812.0,user
2025search,启动翻译工具或查询英汉词句,top_pv,七月英文,13294.0,user
2025search,启动翻译工具或查询英汉词句,top_pv,英语翻译,12272.0,user
2025search,启动翻译工具或查询英汉词句,top_pv,在线翻译,10765.0,user
2025search,启动翻译工具或查询英汉词句,top_pv,日语翻译,6291.0,user
2025search,启动翻译工具或查询英汉词句,sample,saw,1297.0,user
2025search,启动翻译工具或查询英汉词句,sample,brush,1349.0,user
2025search,启动翻译工具或查询英汉词句,sample,cloudy,1280.0,user
2025search,启动翻译工具或查询英汉词句,sample,stand,1788.0,user
2025search,启动翻译工具或查询英汉词句,sample,status,1521.0,user
2025search,启动翻译工具或查询英汉词句,sample,industry,1424.0,user
2025search,进行升学与择校志愿决策咨询,top_pv,高考,97280.0,user
2025search,进行升学与择校志愿决策咨询,top_pv,高考志愿填报,67259.0,user
2025search,进行升学与择校志愿决策咨询,top_pv,中考满分多少分,36496.0,user
2025search,进行升学与择校志愿决策咨询,top_pv,志愿填报,34412.0,user
2025search,进行升学与择校志愿决策咨询,top_pv,高考志愿填报Ai助手,16719.0,user
2025search,进行升学与择校志愿决策咨询,top_pv,211大学全部排名,15671.0,user
2025search,进行升学与择校志愿决策咨询,sample,高校排名,1860.0,user
2025search,进行升学与择校志愿决策咨询,sample,山东高考志愿填报,989.0,user
2025search,进行升学与择校志愿决策咨询,sample,浙江中考总分,3155.0,user
2025search,进行升学与择校志愿决策咨询,sample,高考总分多少2025年,1606.0,user
2025search,进行升学与择校志愿决策咨询,sample,法学专业大学排名,1559.0,user
2025search,进行升学与择校志愿决策咨询,sample,阳光高考网模拟志愿填报,6804.0,user
2025search,导航至官方招考政务门户与登录入口,top_pv,学信网,77819.0,user
2025search,导航至官方招考政务门户与登录入口,top_pv,阳光高考网,59811.0,user
2025search,导航至官方招考政务门户与登录入口,top_pv,中国人事考试网,50554.0,user
2025search,导航至官方招考政务门户与登录入口,top_pv,学信网登录入口官网,46352.0,user
2025search,导航至官方招考政务门户与登录入口,top_pv,阳光高考网官网,37375.0,user
2025search,导航至官方招考政务门户与登录入口,top_pv,山西招生考试网,28597.0,user
2025search,导航至官方招考政务门户与登录入口,sample,山东省教育云服务平台,1187.0,user
2025search,导航至官方招考政务门户与登录入口,sample,浙江考试院官网,1192.0,user
2025search,导航至官方招考政务门户与登录入口,sample,广西招生考试院,13367.0,user
2025search,导航至官方招考政务门户与登录入口,sample,山西招生考试网站,1293.0,user
2025search,导航至官方招考政务门户与登录入口,sample,教育考试院官网,1022.0,user
2025search,导航至官方招考政务门户与登录入口,sample,连云港招生考试信息网,5778.0,user
2025search,无意图或上下文依赖的残余查询,top_pv,百度翻译,56852.0,user
2025search,无意图或上下文依赖的残余查询,top_pv,俯拾皆是,28328.0,user
