外层,a,b,n_a,n_b,内层TVD,同源噪声上界,超出噪声,a主导内层,a主导占比%,b主导内层,b主导占比%,主导是否相同
查询医学名词、检查、疫苗或疾病定义,传统搜索随机1w,健康管家随机1w,1481,1223,0.1195,0.0905,True,查询疾病症状与诊疗信息,20.53,查询疾病症状与诊疗信息,22.32,True
判断个人情形下能否做某事或吃某物,传统搜索随机1w,健康管家随机1w,650,786,0.0862,0.1105,False,查询特定健康或用药情形下能否吃某物或做某事,33.08,查询特定健康或用药情形下能否吃某物或做某事,31.42,True
查询症状或体征的原因,传统搜索随机1w,健康管家随机1w,1614,1845,0.0915,0.0646,True,症状原因查询,37.86,症状原因查询,34.36,True
寻求症状或疾病的治疗方案与用药推荐,传统搜索随机1w,健康管家随机1w,1038,1331,0.1,0.0926,True,病症用药饮食查询,23.03,病症用药饮食查询,20.29,True
验证药物、偏方或疗法的有效性,传统搜索随机1w,健康管家随机1w,414,404,0.1596,0.1582,True,查询食物营养与健康影响,21.01,中药与中成药信息查询,17.82,False
查询药品、药材、保健品或食物的基本信息与功效,传统搜索随机1w,健康管家随机1w,1160,999,0.0858,0.081,True,功效作用与副作用查询,33.36,功效作用与副作用查询,36.14,True
获取结构图示、位置或流程视频,传统搜索随机1w,健康管家随机1w,178,119,0.1367,0.1976,False,查询骨科伤病诊疗与康复信息,51.69,查询骨科伤病诊疗与康复信息,51.26,True
判读个人测量值、检查结果或自身发现,传统搜索随机1w,健康管家随机1w,688,1172,0.1133,0.1045,True,判断身体症状或检查结果是否正常,20.35,解读个人健康指标与用药疑问,16.3,False
判断药物、食物、酒类之间的相互作用,传统搜索随机1w,健康管家随机1w,290,268,0.1362,0.1377,False,食物药物同食同服查询,43.79,食物药物同食同服查询,32.46,True
查询具体药物的用法、剂量与疗程,传统搜索随机1w,健康管家随机1w,229,322,0.1634,0.1487,True,药品用法与相互作用查询,51.97,药品用法与相互作用查询,60.56,True
就医导航、机构核实与医疗行政事务,传统搜索随机1w,健康管家随机1w,1093,244,0.3925,0.1308,True,医院及医生信息查询,48.49,医院及医生信息查询,25.0,True
判定疾病可能性、病情走向与预后,传统搜索随机1w,健康管家随机1w,499,770,0.144,0.1194,True,查询疾病症状与诊疗信息,22.85,查询疾病症状与诊疗信息,27.92,True
无指代追问与拍照实物识别,传统搜索随机1w,健康管家随机1w,127,194,0.3172,0.2565,True,查询骨科伤病诊疗与康复信息,14.17,查询食物营养与健康影响,12.37,False
比较两个或多个实体的异同或优劣,传统搜索随机1w,健康管家随机1w,217,224,0.1688,0.1962,False,药品用法与相互作用查询,25.35,药品用法与相互作用查询,29.91,True
急性事件与意外暴露的分诊处理,传统搜索随机1w,健康管家随机1w,59,66,0.1595,0.3398,False,查询皮肤黏膜异常症状与处理建议,38.98,查询皮肤黏膜异常症状与处理建议,34.85,True
推算怀孕、排卵、验孕或预产时间窗,传统搜索随机1w,健康管家随机1w,38,51,0.065,0.2282,False,解答月经避孕怀孕相关疑问,76.32,解答月经避孕怀孕相关疑问,70.59,True
计算健康相关数值,传统搜索随机1w,健康管家随机1w,49,50,0.069,0.2311,False,查询食物营养与健康影响,55.1,查询食物营养与健康影响,56.0,True
查询术后、伤后或治疗后的恢复时间线,传统搜索随机1w,健康管家随机1w,133,218,0.1062,0.1664,False,医疗恢复与检查时间查询,55.64,医疗恢复与检查时间查询,61.47,True
