key,类目,定义,全语料条数,全语料占比%,传统搜索随机1w_条数,传统搜索随机1w_占比%,传统搜索随机1w_95CI低%,传统搜索随机1w_95CI高%,传统搜索随机1w_流量占比%,健康管家随机1w_条数,健康管家随机1w_占比%,健康管家随机1w_95CI低%,健康管家随机1w_95CI高%,健康管家随机1w_流量占比%,健康管家Top1w_条数,健康管家Top1w_占比%,健康管家Top1w_95CI低%,健康管家Top1w_95CI高%,健康管家Top1w_流量占比%,传统搜索随机1w_均衡归属%,传统搜索随机1w_指数,传统搜索随机1w_均衡指数,健康管家随机1w_均衡归属%,健康管家随机1w_指数,健康管家随机1w_均衡指数,健康管家Top1w_均衡归属%,健康管家Top1w_指数,健康管家Top1w_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,传统搜索随机1w_排名,健康管家随机1w_排名,健康管家Top1w_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
PRODUCT_INFO_LOOKUP__2,PRODUCT_INFO_LOOKUP__2,,3358,10.637,647,6.47,6.004,6.969,11.944,529,5.128,4.719,5.571,7.617,2182,19.392,18.672,20.133,15.534,20.88,0.6082,0.6263,16.55,0.4821,0.4964,62.58,1.823,1.8773,3,,,健康管家Top1w,健康管家随机1w,14.264,3.78,3,3,1,功效作用与副作用查询,46.9,木姜子 / 合香珠的功效 / 金匮肾气丸功效
PRODUCT_INFO_LOOKUP__1,PRODUCT_INFO_LOOKUP__1,,2275,7.207,513,5.13,4.715,5.58,6.449,470,4.556,4.17,4.976,6.421,1292,11.482,10.906,12.085,8.575,24.23,0.7118,0.727,21.52,0.6322,0.6457,54.24,1.5933,1.6273,3,,,健康管家Top1w,健康管家随机1w,6.926,2.52,5,6,2,药品用法与相互作用查询,42.8,红曲米有什么副作用吗 / 幽门螺杆菌囗腔抑菌膏 / 非诺贝特胶囊的功效
TREATMENT_SEEKING__2,TREATMENT_SEEKING__2,,2066,6.545,551,5.51,5.08,5.975,7.96,705,6.834,6.363,7.337,6.869,810,7.199,6.736,7.691,6.476,28.19,0.8419,0.8458,34.97,1.0442,1.0491,36.84,1.0999,1.1051,3,,,健康管家Top1w,传统搜索随机1w,1.689,1.31,4,1,4,病症用药饮食查询,38.2,如何每天保持好心情 / 老年人食欲差不想吃饭怎么办 / 请帮我出几道健康减肥的题目
MEDICAL_KNOWLEDGE_LOOKUP__3,MEDICAL_KNOWLEDGE_LOOKUP__3,,1804,5.715,662,6.62,6.149,7.124,5.452,514,4.983,4.579,5.419,5.189,628,5.581,5.172,6.021,4.535,38.52,1.1584,1.1557,29.0,0.8719,0.8699,32.48,0.9767,0.9744,3,,,传统搜索随机1w,健康管家随机1w,1.637,1.33,2,4,6,查询疾病症状与诊疗信息,17.6,每天走路最先瘦哪里 / 强直性脊柱炎并发症 / 辟谷有什么好处
MEDICAL_KNOWLEDGE_LOOKUP__2,MEDICAL_KNOWLEDGE_LOOKUP__2,,1691,5.357,497,4.97,4.561,5.414,4.926,405,3.926,3.568,4.318,4.093,789,7.012,6.555,7.499,6.703,31.24,0.9278,0.9373,24.68,0.7329,0.7404,44.08,1.309,1.3224,3,,,健康管家Top1w,健康管家随机1w,3.086,1.79,6,8,5,查询食物营养与健康影响,19.4,DNA的全称是什么 / 阴虚是什么意思 / 心肌缺血什么症状
MEDICAL_KNOWLEDGE_LOOKUP__1,MEDICAL_KNOWLEDGE_LOOKUP__1,,1669,5.287,322,3.22,2.892,3.584,6.727,304,2.947,2.638,3.291,3.21,1043,9.269,8.747,9.819,10.046,20.86,0.609,0.6258,19.09,0.5574,0.5727,60.05,1.7533,1.8015,3,,,健康管家Top1w,健康管家随机1w,6.323,3.15,13,14,3,查询疾病症状与诊疗信息,66.2,胰腺癌怎么引起的 / 怎么判断自己有艾滋病 / 乙肝五项哪几个阳性属于正常
TREATMENT_SEEKING__1,TREATMENT_SEEKING__1,,1620,5.132,487,4.87,4.465,5.309,4.643,626,6.068,5.624,6.546,6.172,507,4.506,4.138,4.905,15.311,31.53,0.949,0.946,39.29,1.1825,1.1787,29.18,0.878,0.8753,3,,,健康管家随机1w,健康管家Top1w,1.562,1.35,7,2,7,查询健康症状处理办法,26.7,孩子返校后，怎么做好健康防护？ / 暴雨天出门淋雨后怎么防止感冒 / 检查异常但没明显感觉先怎么办
PERMISSION_VERDICT__1,PERMISSION_VERDICT__1,,1151,3.646,396,3.96,3.595,4.36,2.649,476,4.614,4.226,5.036,4.05,279,2.48,2.208,2.784,1.707,35.82,1.0861,1.0747,41.74,1.2655,1.2523,22.43,0.6801,0.673,3,,,健康管家随机1w,健康管家Top1w,2.135,1.86,8,5,8,查询特定健康或用药情形下能否吃某物或做某事,29.7,糖尿病人能吃南瓜吗 / 长芽的土豆能不能吃 / 燕窝能不能每天吃？
SYMPTOM_CAUSE_LOOKUP__2,SYMPTOM_CAUSE_LOOKUP__2,,949,3.006,331,3.31,2.977,3.679,2.174,425,4.12,3.753,4.521,3.63,193,1.715,1.491,1.972,1.289,36.19,1.1011,1.0858,45.05,1.3704,1.3515,18.76,0.5706,0.5627,3,,,健康管家随机1w,健康管家Top1w,2.405,2.4,12,7,11,查询身体不适症状原因,33.9,"手麻无力时如何判断是否和颈椎有关 / 左腿酸痛 / 腰身一挺,缓缓律动,疼是怎么回事"
SYMPTOM_CAUSE_LOOKUP__4,SYMPTOM_CAUSE_LOOKUP__4,,894,2.832,345,3.45,3.11,3.826,2.662,393,3.81,3.457,4.197,3.182,156,1.386,1.186,1.62,1.649,39.9,1.2182,1.1971,44.06,1.3452,1.3219,16.04,0.4896,0.4811,3,,,健康管家随机1w,健康管家Top1w,2.423,2.75,10,9,16,呼吸道症状与用药建议查询,43.6,老人吃饭容易呛咳是什么原因 / 呛水 / 嗓子痒痒老想咳嗽怎么回事
