key,类目,快照,该类该快照条数,可引条数,取法,query,pv_raw
0,药品功效作用查询,2025搜索,3271,3251,流量最高,荔枝的功效作用与主治,27253.0
0,药品功效作用查询,2025搜索,3271,3251,流量最高,马齿苋的作用和功效,16334.0
0,药品功效作用查询,2025搜索,3271,3251,流量最高,紫苏叶的功效与作用与主治,15233.0
0,药品功效作用查询,2025搜索,3271,3251,随机,伏苓,847.0
0,药品功效作用查询,2025搜索,3271,3251,随机,天麻片的功效作用与主治,384.0
0,药品功效作用查询,2025搜索,3271,3251,随机,鸡内金的功效作用与主治,2508.0
21,医学术语与检查指标含义查询,2025搜索,244,218,流量最高,hpv是什么东西,20147.0
21,医学术语与检查指标含义查询,2025搜索,244,218,流量最高,乙肝表面抗体阳性是什么意思,6524.0
21,医学术语与检查指标含义查询,2025搜索,244,218,流量最高,窦性心律是什么意思?,5423.0
21,医学术语与检查指标含义查询,2025搜索,244,218,随机,tid医学上代表什么,442.0
21,医学术语与检查指标含义查询,2025搜索,244,218,随机,心电图窦性心律是什么意思,776.0
21,医学术语与检查指标含义查询,2025搜索,244,218,随机,二尖瓣反流是什么意思,574.0
19,健康指标正常值范围查询,2025搜索,225,225,流量最高,血压正常是多少标准,19181.0
19,健康指标正常值范围查询,2025搜索,225,225,流量最高,血糖正常值范围 最新标准2025,15763.0
19,健康指标正常值范围查询,2025搜索,225,225,流量最高,bmi体重指数怎么计算,9216.0
19,健康指标正常值范围查询,2025搜索,225,225,随机,孕妇血糖正常值范围,480.0
19,健康指标正常值范围查询,2025搜索,225,225,随机,身高体重指数( BMI ),906.0
19,健康指标正常值范围查询,2025搜索,225,225,随机,体温35.5-35.9正常吗,643.0
2,疾病症状表现查询,2025搜索,521,506,流量最高,中暑的症状表现,10812.0
2,疾病症状表现查询,2025搜索,521,506,流量最高,甲状腺的症状有哪些表现,9810.0
2,疾病症状表现查询,2025搜索,521,506,流量最高,抑郁症的症状有哪些表现,9081.0
2,疾病症状表现查询,2025搜索,521,506,随机,精神分裂症的表现,402.0
2,疾病症状表现查询,2025搜索,521,506,随机,败血症是什么症状,470.0
2,疾病症状表现查询,2025搜索,521,506,随机,腰椎间盘突出症状表现有哪些,586.0
5,查询疾病最快最有效治疗方法,2025搜索,462,451,流量最高,牙疼怎么止疼最快,10593.0
5,查询疾病最快最有效治疗方法,2025搜索,462,451,流量最高,牙龈肿痛怎么消炎最快最有效,9828.0
5,查询疾病最快最有效治疗方法,2025搜索,462,451,流量最高,口腔溃疡怎么治最快有效药,9779.0
5,查询疾病最快最有效治疗方法,2025搜索,462,451,随机,骨关节炎怎么治疗最好最有效,350.0
5,查询疾病最快最有效治疗方法,2025搜索,462,451,随机,焦虑症怎么治疗效果最好的方法,435.0
5,查询疾病最快最有效治疗方法,2025搜索,462,451,随机,血管瘤的最佳消除方法,631.0
23,查询穴位及身体部位准确位置,2025搜索,146,146,流量最高,人体结构器官位置图,8604.0
23,查询穴位及身体部位准确位置,2025搜索,146,146,流量最高,足三里的准确位置图,5843.0
23,查询穴位及身体部位准确位置,2025搜索,146,146,流量最高,人体器官结构示意图,5643.0
23,查询穴位及身体部位准确位置,2025搜索,146,146,随机,腹股沟在哪个位置图片,1532.0
23,查询穴位及身体部位准确位置,2025搜索,146,146,随机,脾经经络图及走向,386.0
23,查询穴位及身体部位准确位置,2025搜索,146,146,随机,肾在哪个位置图片,877.0
12,症状原因与处理方法查询,2025搜索,172,146,流量最高,口腔溃疡,3832.0
12,症状原因与处理方法查询,2025搜索,172,146,流量最高,"喉咙有异物感,咽部好像有东西堵塞",3453.0
12,症状原因与处理方法查询,2025搜索,172,146,流量最高,嘴唇发紫黑是什么原因,2957.0
12,症状原因与处理方法查询,2025搜索,172,146,随机,睡觉流口水是什么原因造成的,1622.0
12,症状原因与处理方法查询,2025搜索,172,146,随机,嗓子哑了怎么办怎样快速恢复,374.0
12,症状原因与处理方法查询,2025搜索,172,146,随机,嗓子痒控制不住咳嗽是什么原因,1011.0
14,中医方剂配方与食疗搭配吃法查询,2025搜索,70,66,流量最高,西洋参的功效与作用、三种人不宜吃、和什么搭配泡水好,8579.0
14,中医方剂配方与食疗搭配吃法查询,2025搜索,70,66,流量最高,鸽子汤怎么炖最营养补气补血,3072.0
14,中医方剂配方与食疗搭配吃法查询,2025搜索,70,66,流量最高,绿豆和什么搭配一起煮最好,2316.0
14,中医方剂配方与食疗搭配吃法查询,2025搜索,70,66,随机,夏天喝什么茶最好,643.0
14,中医方剂配方与食疗搭配吃法查询,2025搜索,70,66,随机,冬瓜汤和什么搭配最好,1156.0
14,中医方剂配方与食疗搭配吃法查询,2025搜索,70,66,随机,八珍汤标准配方,458.0
9,皮肤瘙痒起疙瘩原因与用药查询,2025搜索,210,204,流量最高,身上出现红色的小点是怎么回事,6867.0
9,皮肤瘙痒起疙瘩原因与用药查询,2025搜索,210,204,流量最高,皮肤痒是什么原因.越抓越痒,4330.0
9,皮肤瘙痒起疙瘩原因与用药查询,2025搜索,210,204,流量最高,手上起小水泡很痒怎么回事,4210.0
9,皮肤瘙痒起疙瘩原因与用药查询,2025搜索,210,204,随机,荨麻疹是怎么染上的,655.0
9,皮肤瘙痒起疙瘩原因与用药查询,2025搜索,210,204,随机,身上长红色痣是怎么回事,492.0
9,皮肤瘙痒起疙瘩原因与用药查询,2025搜索,210,204,随机,山药弄到手上很痒怎么办,1255.0
3,查询皮肤病症状图片,2025搜索,104,97,流量最高,带状疱疹,6995.0
3,查询皮肤病症状图片,2025搜索,104,97,流量最高,荨麻疹,6283.0
3,查询皮肤病症状图片,2025搜索,104,97,流量最高,湿疹,5826.0
3,查询皮肤病症状图片,2025搜索,104,97,随机,带状疱疹图片,1519.0
3,查询皮肤病症状图片,2025搜索,104,97,随机,螨虫叮咬后的症状图,358.0
3,查询皮肤病症状图片,2025搜索,104,97,随机,热痱子和湿疹的症状图片,460.0
4,查询病症用药推荐,2025搜索,308,289,流量最高,尿路感染吃什么药好得快,7135.0
4,查询病症用药推荐,2025搜索,308,289,流量最高,痛风吃什么药最好最快断根,3366.0
4,查询病症用药推荐,2025搜索,308,289,流量最高,霉菌性霉菌性阴炎用什么药好得快,3158.0
4,查询病症用药推荐,2025搜索,308,289,随机,尿路感染吃什么药,369.0
4,查询病症用药推荐,2025搜索,308,289,随机,"胃炎吃啥药好用,管用,见效快",697.0
4,查询病症用药推荐,2025搜索,308,289,随机,乌鸡白凤丸主要治什么妇科病,362.0
11,检验指标异常原因查询,2025搜索,331,313,流量最高,总胆红素偏高说明什么,6828.0
11,检验指标异常原因查询,2025搜索,331,313,流量最高,甘油三酯高是什么原因,6787.0
11,检验指标异常原因查询,2025搜索,331,313,流量最高,白细胞高是怎么回事,5761.0
11,检验指标异常原因查询,2025搜索,331,313,随机,"血小板低是咋回事,会有什么危害",368.0
11,检验指标异常原因查询,2025搜索,331,313,随机,红细胞沉降率高是怎么回事,1032.0
11,检验指标异常原因查询,2025搜索,331,313,随机,d-二聚体测定高是什么意思,550.0
1,癌症早期症状查询,2025搜索,99,99,流量最高,怀孕的最初征兆,6711.0
1,癌症早期症状查询,2025搜索,99,99,流量最高,宫颈癌的早期症状表现有哪些,5526.0
1,癌症早期症状查询,2025搜索,99,99,流量最高,乳腺癌的早期症状和前兆,5374.0
1,癌症早期症状查询,2025搜索,99,99,随机,肺癌的早期症状有哪些,1317.0
1,癌症早期症状查询,2025搜索,99,99,随机,癌症早期症状,434.0
1,癌症早期症状查询,2025搜索,99,99,随机,肠癌的早期症状,458.0
6,查询症状原因与治疗方法,2025搜索,267,216,流量最高,"低压高是什么原因,怎么解决",6700.0
6,查询症状原因与治疗方法,2025搜索,267,216,流量最高,眼睛模糊看不清是怎么回事,4554.0
6,查询症状原因与治疗方法,2025搜索,267,216,流量最高,"血压低是什么原因,怎么解决",4436.0
6,查询症状原因与治疗方法,2025搜索,267,216,随机,左眼皮一直抽搐跳动是怎么回事,443.0
6,查询症状原因与治疗方法,2025搜索,267,216,随机,小孩流鼻血经常流鼻血是怎么回事啊,776.0
6,查询症状原因与治疗方法,2025搜索,267,216,随机,反复发烧是怎么回事,573.0
7,身体疼痛病因查询,2025搜索,225,195,流量最高,乳头疼是怎么回事一碰就疼,6005.0
7,身体疼痛病因查询,2025搜索,225,195,流量最高,脚后跟疼是怎么回事什么原因,6000.0
7,身体疼痛病因查询,2025搜索,225,195,流量最高,胆囊炎的症状是哪里疼,5087.0
7,身体疼痛病因查询,2025搜索,225,195,随机,胸部隐隐约约的疼怎么回事,1645.0
7,身体疼痛病因查询,2025搜索,225,195,随机,胸椎疼后背疼是怎么回事,412.0
7,身体疼痛病因查询,2025搜索,225,195,随机,睾丸疼痛什么原因,1112.0
13,血糖与糖尿病问题查询,2025搜索,108,104,流量最高,血糖高吃什么最好降的快,6002.0
13,血糖与糖尿病问题查询,2025搜索,108,104,流量最高,糖尿病,5770.0
13,血糖与糖尿病问题查询,2025搜索,108,104,流量最高,血糖高有什么症状和感觉,3713.0
13,血糖与糖尿病问题查询,2025搜索,108,104,随机,餐后3个小时血糖应该是多少,687.0
13,血糖与糖尿病问题查询,2025搜索,108,104,随机,低血糖吃什么最快缓解,805.0
13,血糖与糖尿病问题查询,2025搜索,108,104,随机,血糖高能吃荔枝吗,426.0
25,医疗健康信息查询,2025搜索,564,554,流量最高,多囊卵巢综合症,5714.0
25,医疗健康信息查询,2025搜索,564,554,流量最高,甲状腺结节,5556.0
25,医疗健康信息查询,2025搜索,564,554,流量最高,白癜风,4851.0
25,医疗健康信息查询,2025搜索,564,554,随机,健康,825.0
25,医疗健康信息查询,2025搜索,564,554,随机,阿尔兹海默症,578.0
25,医疗健康信息查询,2025搜索,564,554,随机,骨科1/2h,1184.0
28,药品及医疗产品信息查询,2025搜索,593,582,流量最高,维生素D,5452.0
28,药品及医疗产品信息查询,2025搜索,593,582,流量最高,维生素c,4595.0
28,药品及医疗产品信息查询,2025搜索,593,582,流量最高,幽门螺旋杆菌,4215.0
28,药品及医疗产品信息查询,2025搜索,593,582,随机,奥利司他胶囊,383.0
28,药品及医疗产品信息查询,2025搜索,593,582,随机,喹硫平,432.0
28,药品及医疗产品信息查询,2025搜索,593,582,随机,洛索洛芬钠凝胶贴膏,695.0
18,查询孕产流产相关时间,2025搜索,253,220,流量最高,排卵期是怎么算的从哪天开始,5375.0
18,查询孕产流产相关时间,2025搜索,253,220,流量最高,怀孕多少天能查出来,4181.0
18,查询孕产流产相关时间,2025搜索,253,220,流量最高,手足口病一般几天能好,3697.0
18,查询孕产流产相关时间,2025搜索,253,220,随机,晒太阳的正确方法晒多长时间,487.0
18,查询孕产流产相关时间,2025搜索,253,220,随机,取环后多长时间可以过性生活,784.0
18,查询孕产流产相关时间,2025搜索,253,220,随机,胃癌手术切除后一般可以活几年,617.0
10,查询身体异常症状原因及应对方法,2025搜索,239,207,流量最高,月经一直不干净是什么原因,5240.0
10,查询身体异常症状原因及应对方法,2025搜索,239,207,流量最高,肚子胀气是什么原因怎么解决,4780.0
10,查询身体异常症状原因及应对方法,2025搜索,239,207,流量最高,月经量少颜色黑褐色是什么原因,4209.0
