key,类目,快照,该类该快照条数,可引条数,取法,query,pv_raw
MEDICAL_KNOWLEDGE_LOOKUP,查询医学名词、检查、疫苗或疾病定义,传统搜索随机1w,1481,1432,流量最高,胰腺癌怎么引起的,632.0
MEDICAL_KNOWLEDGE_LOOKUP,查询医学名词、检查、疫苗或疾病定义,传统搜索随机1w,1481,1432,流量最高,乙肝五项哪几个阳性属于正常,522.0
MEDICAL_KNOWLEDGE_LOOKUP,查询医学名词、检查、疫苗或疾病定义,传统搜索随机1w,1481,1432,流量最高,胰腺炎是大病还是小病,248.0
MEDICAL_KNOWLEDGE_LOOKUP,查询医学名词、检查、疫苗或疾病定义,传统搜索随机1w,1481,1432,随机,炎症反应的表现,2.0
MEDICAL_KNOWLEDGE_LOOKUP,查询医学名词、检查、疫苗或疾病定义,传统搜索随机1w,1481,1432,随机,疝气是怎么形成的,14.0
MEDICAL_KNOWLEDGE_LOOKUP,查询医学名词、检查、疫苗或疾病定义,传统搜索随机1w,1481,1432,随机,左外bppv嵴顶型最忌三种人群,4.0
PERMISSION_VERDICT,判断个人情形下能否做某事或吃某物,传统搜索随机1w,650,596,流量最高,糖尿病人能吃南瓜吗,172.0
PERMISSION_VERDICT,判断个人情形下能否做某事或吃某物,传统搜索随机1w,650,596,流量最高,取环不能涂指甲油吗,22.0
PERMISSION_VERDICT,判断个人情形下能否做某事或吃某物,传统搜索随机1w,650,596,流量最高,大姨妈最后一天能同房吗,14.0
PERMISSION_VERDICT,判断个人情形下能否做某事或吃某物,传统搜索随机1w,650,596,随机,血压高可以喝鸡汤吗,2.0
PERMISSION_VERDICT,判断个人情形下能否做某事或吃某物,传统搜索随机1w,650,596,随机,肺癌呼吸困难能同房吗,2.0
PERMISSION_VERDICT,判断个人情形下能否做某事或吃某物,传统搜索随机1w,650,596,随机,塘高能吃土豆丝吗,2.0
SYMPTOM_CAUSE_LOOKUP,查询症状或体征的原因,传统搜索随机1w,1614,1543,流量最高,呛水,104.0
