claim,value,source_table,how_computed
五个领域 kappa 全部未测量（不是 1.0）,mode=fast，单标注员；p2b_kappa.status=skipped（五域一致）,runs/<run>/gen01/gold_agreement.json; run_summary.json: gates,读 n_annotators / kappa / why_absent；五个运行逐一核对（各域报告页首已载）
AMI 的参照系,"AMI_td 0.7742 / AMI_bu 0.6873（同一份金融数据两次运行 fin02/fin03；单点，行数 9,999，类数 19→16）",work/taxonomy_delta_summary.csv 行 `对照·同数据两次运行(fin02/fin03)`,直接读取
助手行时间证据的全部内部依据,五域助手行合计 35 行写出日期，其中 22 行落在 8/25–9/1；语音 11 行，倾向 8 月初,work/date_evidence.md,来自查询文本内部的日期分布，非导出方声明
同串必然同标签（构造性约束）,"五域拿到两个 td_l1_name 的字符串 0 个；金融 11,755 行落在重复串上、医疗 6,455 串/13,184 行、人物 4,544 串/9,495 行",交付 parquet 逐行；各域报告页首/§3.1,按 query 分组检查 td_l1_name.nunique()>1 的串数
四个轴在每个领域都超过置换零假设上界,各线 lo > 对应 null_p95；时间线 null_p95 .0297–.0404，其余线 .0957–.1283,cross/tvd_ci.csv: tvd/lo/hi/null_p95,逐行比较 lo 与 null_p95
深度是 4/5 领域最大的一条轴,金融/影视/人物 深度>其余且区间两两不重叠；医疗 深度 .3921 与 输入·对头部 .3733 区间重叠不可排序；教育 界面 .6426 ≫ 深度 .2598,cross/tvd_ci.csv; cross/synthesis_derived.csv 块 `A 轴可排序性·域内`,逐对判断 lo_i>hi_j 或 lo_j>hi_i
时间是 5/5 领域最小的一条轴,金融 .1446 / 医疗 .0899 / 教育 .0953 / 影视 .0739 / 人物 .2561，各域内均最小,cross/tvd_ci.csv,同上
跨领域·时间轴的可排序性,人物 .2561 > 金融 .1446 > {教育 .0953、医疗 .0899、影视 .0739}；后三者两两区间重叠，不可排序,cross/synthesis_derived.csv 块 `A 轴可排序性·跨域`,同一轴上逐对比较五域区间
跨领域·深度轴的可排序性,"教育 .2598 显著最小（[.2305,.3134]，与其余四域均不重叠）；其余四域可排的有三对——金融>影视（.4936>.4848）、金融>医疗（.4936>.4363）、人物>医疗（.4369>.4363，边距 0.0006，极脆弱）；金融~人物、人物~影视、影视~医疗 重叠不可排。「{金融、人物、影视} > 医疗」整体排序不成立",cross/tvd_ci.csv; cross/synthesis_derived.csv 块 `A 轴可排序性·跨域`,同一轴上逐对比较五域 95% 区间：lo_i > hi_j 才算可排
跨领域·界面轴的可排序性,教育 .6426 显著最大；人物~医疗~金融、金融~影视 重叠；只有 人物>影视、医疗>影视 可排,cross/synthesis_derived.csv 块 `A 轴可排序性·跨域`,同上
