code,name,definition,user_need,risk,expected_share,positive_examples,negative_examples,n_rules
ACCESS_WATCH,获取作品的在线播放入口,查询由作品名加访问类修饰词（免费观看/在线观看/完整版/全集/高清/免费播放等）构成，用户要求获得该作品的在线播放入口，而非指定集数、渠道、未删减版本或成人内容。,获得一个可直接在线播放该作品并满足全集、完整版、高清等观看条件的入口后，用户即满足；正版免费渠道同样满足。,True,0.32,以法之名免费观看完整版 / 《临江仙》免费观看 / 你给我的喜欢电视剧免费观看全集 / 三生三世十里桃花在线全集免费观看超清,以法之名17 → ACCESS_SPECIFIC_EPISODE / 心口不一泰剧完整未删减版百度云 → CHANNEL_RESOURCE_ACCESS / 好想做一次电视剧在线观看免费全集下载 → CHANNEL_RESOURCE_ACCESS,5
ACCESS_SPECIFIC_EPISODE,直达指定集数的播放页,查询由作品名加具体集数、集数区间或大结局作为播放目标构成，用户要求直达该集的播放页面，而非全集入口、剧透说明或总集数事实。,获得可直接播放该作品指定集或大结局的入口后，用户即满足。,True,,以法之名17 / 家庭教师05 / 当橘子掉落时电视剧全集免费观看第5集 / 凡人修仙传180高清在线观看,以法之名免费观看完整版 → ACCESS_WATCH / 狮城山海一共多少集 → BROADCAST_FACTS / 藏锋第十六集剧情 → PLOT_SYNOPSIS_ENDING,4
CHANNEL_RESOURCE_ACCESS,获取作品的网盘或资源下载渠道,查询以作品为对象并含百度云、网盘、夸克、迅雷、磁力、资源或作品下载等渠道词，用户要求可保存的获取路径，而不是在线播放器。,获得该作品在网盘、资源站或下载渠道的可保存路径后，用户即满足。,True,,心口不一泰剧完整未删减版百度云 / 爱在空气中泰剧未删减百度 / 黑兽1~6集全集免费资源 / 法国空姐2019(多塞尔航空)抢先版百度2,以法之名免费观看完整版 → ACCESS_WATCH / 大师兄影视app最新安卓下载 → APP_INSTALL_SUPPORT / 免费观看已满十八岁中国电视剧 → ADULT_RESTRICTED_ACCESS,3
SITE_PORTAL_NAV,导航到指定影视站点或平台,查询本体为影视站点、聚合站或播放平台名称，用户要求导航到该站点入口或确认其可访问，而不点名具体作品。,获得所命名站点的入口或确认该站点可访问、可观看后，用户即满足。,True,0.012,星辰影院 / 樱花动漫在线 / 风车动漫网 / a4yy,大师兄影视app最新安卓下载 → APP_INSTALL_SUPPORT / 快手极速版免费下载2025最新版 → APP_INSTALL_SUPPORT / 爱奇艺怎么取消自动续费 → PLATFORM_ACCOUNT_SUPPORT,3
LIVE_TV_SCHEDULE,收看电视频道直播或查询节目表,查询指向广播电视或直播频道本身，用户要求实时直播流或当日节目单，与点播观看不同。,获得指定频道的实时直播流或当日节目单及其所包含节目信息后，用户即满足。,True,,cctv5直播 / 中央电视台cctv5 直播 / 央视cctv1直播观看 / 中央一台cctv 1在线直播,星辰影院在线观看 → SITE_PORTAL_NAV / 以法之名免费观看完整版 → ACCESS_WATCH / 狮城山海一共多少集 → BROADCAST_FACTS,1
PLOT_SYNOPSIS_ENDING,查询剧情梗概或结局剧透,查询要求一段文字型剧情介绍、分集剧情、结局说明或真凶等事实性剧透，而不是相关集的播放入口。,获得该作品或指定集的剧情梗概、结局说明或真凶等文字内容后，用户即满足。,True,0.013,因法之名剧情介绍 / 甄嬛传剧情介绍 / 《重器》的剧情简介是什么 / 早春晴朗大结局是什么,《老中医》大结局 → ACCESS_SPECIFIC_EPISODE / 铁道游击队大结局 → ACCESS_SPECIFIC_EPISODE / 以法之名17 → ACCESS_SPECIFIC_EPISODE,2
WORK_CAST_LOOKUP,查询作品演员表与角色信息,查询以作品为输入，要求获得该作品的演员表、导演、幕后人员或角色信息，查询起点是作品。,获得该作品的演员表、幕后人员信息或角色说明后，用户即满足。,False,,我的世界你好演员表 / 墨雨云间演员表 / 电视剧醒来全部演员表 / 聊斋艳谭五通魔神之三只狐狸电影演员表,鞠婧祎演过的电视剧 → PERSON_TO_WORKS / 张凌赫主演的电视剧 → PERSON_TO_WORKS / 刘德华电影 → PERSON_TO_WORKS,1
PERSON_TO_WORKS,按演职人员反查作品列表,查询以演员、导演或主持等人物为输入，要求枚举其出演、执导或主持的作品列表，查询起点是人物。,获得该人物按时间或热度排列的作品列表后，用户即满足。,True,,鞠婧祎演过的电视剧 / 陈哲远演过的电视剧 / 刘德华电影 / 莫妮卡贝鲁奇最惊艳的三部电影,以法之名演员表 → WORK_CAST_LOOKUP / 梦中的那片海陈宏军 → WORK_CAST_LOOKUP / 田螺艳鬼1988台湾版演员是蒋 → WORK_CAST_LOOKUP,1
BROADCAST_FACTS,核实播出信息与集数,查询以问句或事实核实形式询问作品的播出平台、播出时间、更新时间、总集数、观看顺序或作品异同，要求结论而不是播放器。,获得该作品的播出平台或时间、总集数、观看顺序或作品是否同一部的明确结论后，用户即满足。,False,0.005,这一秒过火什么时候播 / 狮城山海一共多少集 / 哈利波特电影顺序 / 国色芳华和锦绣芳华是一部剧吗,中央CCTV5节目表今天有NBA吗 → LIVE_TV_SCHEDULE / 以法之名17 → ACCESS_SPECIFIC_EPISODE / 早春晴朗大结局是什么 → PLOT_SYNOPSIS_ENDING,1
ADULT_RESTRICTED_ACCESS,获取成人或限制级内容,查询以显式成人、色情、软色情、年龄门槛或规避拼写表达对成人或限制级影音内容的获取需求，优先级高于普通访问、渠道或站点导航类。,获得该类成人内容或其观看路径后，用户即满足——但该需求应受内容政策与法律约束，不可朴素满足。,True,0.008,三级tv / 羞羞的视频 / 撕掉美女衣 / 花季传媒,孙艺珍为艺术献身的电影 → PERSON_TO_WORKS / 色戒未删减版本电影在线观看 → UNCENSORED_VERSION / 拉字至上第一季未删减版百度云 → UNCENSORED_VERSION,1
