外层,外层名,快照,source,n,内层,内层名,条数,占比%,95CI低%,95CI高%
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,25,查询股票信息,1754,34.95,33.65,36.28
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,0,股票代码查询,623,12.42,11.53,13.36
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,45,查询股份公司及股票信息,257,5.12,4.55,5.77
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,58,查询黄金价格,226,4.5,3.96,5.11
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,23,科技类股票信息查询,223,4.44,3.91,5.05
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,1,查询300开头股票代码与行情,199,3.97,3.46,4.54
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,27,查询市场行情,182,3.63,3.14,4.18
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,59,实时行情查询,167,3.33,2.87,3.86
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,31,查询财经门户与市场行情,152,3.03,2.59,3.54
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,62,查询金价,139,2.77,2.35,3.26
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,28,股指行情查询,135,2.69,2.28,3.18
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,60,市场价格行情查询,130,2.59,2.19,3.07
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,46,查询股份股票及股吧信息,125,2.49,2.09,2.96
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,6,查询股票代码与指数信息,123,2.45,2.06,2.92
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,63,查询价格走势图,116,2.31,1.93,2.77
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,26,查询个股股票行情与股吧讨论,105,2.09,1.73,2.53
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,30,股票行情与选股建议查询,86,1.71,1.39,2.11
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,73,证券代码信息查询,61,1.22,0.95,1.56
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,72,金融代码查询,39,0.78,0.57,1.06
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,32,证券股票信息查询,34,0.68,0.49,0.95
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,22,查询科技股与科创板信息,23,0.46,0.31,0.69
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,7,基金净值查询,15,0.3,0.18,0.49
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,36,人民币及货币信息查询,13,0.26,0.15,0.44
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,49,银行信息查询,13,0.26,0.15,0.44
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,53,中国银行服务信息查询,11,0.22,0.12,0.39
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,3,查询电话号码归属,8,0.16,0.08,0.31
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,34,查询美元兑日元汇率,7,0.14,0.07,0.29
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,2,证券代码信息查询,7,0.14,0.07,0.29
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,71,查询价格与金额,6,0.12,0.05,0.26
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,50,农业银行及农村信用社服务信息查询,5,0.1,0.04,0.23
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,2025search,5018,68,利率查询与计算,4,0.08,0.03,0.2
