domain,source,frame,label,share
影视,2026search,统一13类,获取现成内容,0.3962
影视,2026search,统一13类,裸实体,0.3911
影视,2026search,统一13类,导航直达,0.0821
影视,2026search,统一13类,清单与推荐,0.046
影视,2026search,统一13类,违规或灰色内容,0.0362
影视,2026search,统一13类,事实与数值,0.0193
影视,2026search,统一13类,解释与介绍,0.0135
影视,2026search,统一13类,无法判定,0.0128
影视,2026search,统一13类,核实与动态,0.0013
影视,2026search,统一13类,办事与操作,0.0009
影视,2026search,统一13类,会话与系统指令,0.0003
影视,2026search,统一13类,生成与编辑,0.0002
影视,2026search,本次挖掘,裸片名或仅带实体类型词的作品查询,0.4415
影视,2026search,本次挖掘,获取作品的在线播放入口,0.3362
影视,2026search,本次挖掘,导航到指定影视站点或平台,0.05
影视,2026search,本次挖掘,收看电视频道直播或查询节目表,0.0396
影视,2026search,本次挖掘,获取作品的网盘或资源下载渠道,0.0297
影视,2026search,本次挖掘,直达指定集数的播放页,0.0245
影视,2026search,本次挖掘,查询作品演员表与角色信息,0.0127
影视,2026search,本次挖掘,获取片段、台词或混剪等衍生内容,0.0123
影视,2026search,本次挖掘,下载或安装影视App与排障,0.0119
影视,2026search,本次挖掘,核实播出信息与集数,0.0095
影视,2026search,本次挖掘,获取成人或限制级内容,0.009
影视,2026search,本次挖掘,查询剧情梗概或结局剧透,0.0076
影视,2026search,本次挖掘,按演职人员反查作品列表,0.007
影视,2026search,本次挖掘,剧情设定讨论与同人假设问答,0.003
影视,2026search,本次挖掘,凭情节片段反查片名,0.0022
影视,2026search,本次挖掘,处理平台账号或客服问题,0.0018
影视,2026search,本次挖掘,获取未删减或未遮挡版本,0.0014
影视,assistant_random,统一13类,无法判定,0.1813
影视,assistant_random,统一13类,获取现成内容,0.1782
影视,assistant_random,统一13类,解释与介绍,0.1466
影视,assistant_random,统一13类,清单与推荐,0.1232
影视,assistant_random,统一13类,裸实体,0.0794
影视,assistant_random,统一13类,事实与数值,0.0764
影视,assistant_random,统一13类,生成与编辑,0.0692
影视,assistant_random,统一13类,核实与动态,0.0438
影视,assistant_random,统一13类,个案判断与建议,0.0316
影视,assistant_random,统一13类,会话与系统指令,0.0305
影视,assistant_random,统一13类,办事与操作,0.0214
影视,assistant_random,统一13类,违规或灰色内容,0.0102
影视,assistant_random,统一13类,导航直达,0.0081
影视,assistant_random,本次挖掘,剧情设定讨论与同人假设问答,0.3615
影视,assistant_random,本次挖掘,裸片名或仅带实体类型词的作品查询,0.2067
影视,assistant_random,本次挖掘,获取片段、台词或混剪等衍生内容,0.1242
影视,assistant_random,本次挖掘,获取作品的在线播放入口,0.0631
影视,assistant_random,本次挖掘,核实播出信息与集数,0.0438
影视,assistant_random,本次挖掘,凭情节片段反查片名,0.0407
影视,assistant_random,本次挖掘,处理平台账号或客服问题,0.0295
影视,assistant_random,本次挖掘,查询剧情梗概或结局剧透,0.0265
影视,assistant_random,本次挖掘,查询作品演员表与角色信息,0.0214
影视,assistant_random,本次挖掘,直达指定集数的播放页,0.0183
影视,assistant_random,本次挖掘,按演职人员反查作品列表,0.0153
影视,assistant_random,本次挖掘,导航到指定影视站点或平台,0.0122
影视,assistant_random,本次挖掘,下载或安装影视App与排障,0.0092
影视,assistant_random,本次挖掘,收看电视频道直播或查询节目表,0.0092
影视,assistant_random,本次挖掘,获取成人或限制级内容,0.0092
影视,assistant_random,本次挖掘,获取作品的网盘或资源下载渠道,0.0081
影视,assistant_random,本次挖掘,获取未删减或未遮挡版本,0.001
影视,assistant_top,统一13类,裸实体,0.2911
影视,assistant_top,统一13类,获取现成内容,0.2639
影视,assistant_top,统一13类,无法判定,0.133
影视,assistant_top,统一13类,清单与推荐,0.1058
影视,assistant_top,统一13类,解释与介绍,0.0754
影视,assistant_top,统一13类,导航直达,0.0387
影视,assistant_top,统一13类,生成与编辑,0.0377
影视,assistant_top,统一13类,核实与动态,0.0178
影视,assistant_top,统一13类,会话与系统指令,0.0136
影视,assistant_top,统一13类,事实与数值,0.0115
影视,assistant_top,统一13类,违规或灰色内容,0.0105
影视,assistant_top,统一13类,办事与操作,0.001
影视,assistant_top,本次挖掘,裸片名或仅带实体类型词的作品查询,0.4241
影视,assistant_top,本次挖掘,获取作品的在线播放入口,0.1717
影视,assistant_top,本次挖掘,获取片段、台词或混剪等衍生内容,0.1026
影视,assistant_top,本次挖掘,查询剧情梗概或结局剧透,0.0628
影视,assistant_top,本次挖掘,导航到指定影视站点或平台,0.0524
影视,assistant_top,本次挖掘,查询作品演员表与角色信息,0.0419
影视,assistant_top,本次挖掘,凭情节片段反查片名,0.0262
影视,assistant_top,本次挖掘,剧情设定讨论与同人假设问答,0.0251
影视,assistant_top,本次挖掘,获取作品的网盘或资源下载渠道,0.0199
影视,assistant_top,本次挖掘,核实播出信息与集数,0.0157
影视,assistant_top,本次挖掘,获取成人或限制级内容,0.0136
影视,assistant_top,本次挖掘,下载或安装影视App与排障,0.0126
影视,assistant_top,本次挖掘,收看电视频道直播或查询节目表,0.0115
影视,assistant_top,本次挖掘,按演职人员反查作品列表,0.0115
影视,assistant_top,本次挖掘,直达指定集数的播放页,0.0073
影视,assistant_top,本次挖掘,处理平台账号或客服问题,0.001
