key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
IDENTIFY_TITLE_FROM_FRAGMENT__1,IDENTIFY_TITLE_FROM_FRAGMENT__1,106,19,0.3988,10.53,21.05,22,0.4634,0.0,31.82,25,0.5847,0.0,16.0,40,0.4715,7.5,22.5,2026搜索,0.1213,0.4835
UNCENSORED_VERSION__1,UNCENSORED_VERSION__1,30,15,0.5609,6.67,53.33,14,0.5122,0.0,35.71,0,,,,1,0.2464,100.0,0.0,,,0.5277
LORE_QA_DISCUSSION__1,LORE_QA_DISCUSSION__1,222,22,0.5033,9.09,18.18,17,0.4163,11.76,11.76,14,0.5324,14.29,14.29,169,0.5797,1.18,17.75,2025搜索,0.0764,0.5566
ADULT_RESTRICTED_ACCESS__1,ADULT_RESTRICTED_ACCESS__1,214,102,0.5569,3.92,23.53,90,0.5816,2.22,15.56,13,0.4785,0.0,15.38,9,0.4273,11.11,55.56,2025搜索,0.0247,0.557
CLIP_QUOTE_DERIVATIVE__1,CLIP_QUOTE_DERIVATIVE__1,306,138,0.6091,1.45,21.01,92,0.6122,2.17,25.0,41,0.5972,0.0,19.51,35,0.5237,2.86,37.14,助手随机1k,0.0885,0.5987
PLATFORM_ACCOUNT_SUPPORT__1,PLATFORM_ACCOUNT_SUPPORT__1,88,40,0.6753,2.5,2.5,18,0.5882,0.0,5.56,1,0.8053,0.0,0.0,29,0.5957,3.45,6.9,助手随机1k,0.0796,0.6327
WORK_CAST_LOOKUP__1,WORK_CAST_LOOKUP__1,36,27,0.7093,11.11,11.11,5,0.5781,0.0,20.0,1,0.3299,0.0,0.0,3,0.3866,0.0,66.67,2025搜索,,0.6536
APP_INSTALL_SUPPORT__2,APP_INSTALL_SUPPORT__2,73,36,0.7127,0.0,25.0,33,0.624,0.0,27.27,3,0.7288,0.0,33.33,1,0.8012,0.0,0.0,2026搜索,0.0887,0.6745
ACCESS_SPECIFIC_EPISODE__1,ACCESS_SPECIFIC_EPISODE__1,212,84,0.7059,3.57,25.0,111,0.6694,1.8,35.14,5,0.5228,0.0,0.0,12,0.681,0.0,58.33,2026搜索,0.0365,0.681
BROADCAST_FACTS__1,BROADCAST_FACTS__1,265,112,0.7288,1.79,5.36,95,0.7015,4.21,18.95,15,0.5352,0.0,13.33,43,0.5721,0.0,27.91,助手随机1k,0.1567,0.6826
LORE_QA_DISCUSSION__2,LORE_QA_DISCUSSION__2,220,11,0.4619,0.0,27.27,13,0.4834,7.69,0.0,10,0.5635,0.0,70.0,186,0.7257,1.08,30.65,助手随机1k,,0.6908
ACCESS_SPECIFIC_EPISODE__2,ACCESS_SPECIFIC_EPISODE__2,199,59,0.6608,3.39,30.51,132,0.7113,2.27,39.39,2,0.8558,0.0,50.0,6,0.599,0.0,66.67,2025搜索,0.0505,0.6944
