code,name,definition,user_need,risk,expected_share,positive_examples,negative_examples,n_rules
OBTAIN_PERSONAL_DECOR_IMAGE,获取个人装饰用图（头像/壁纸）,用户想要一张已经存在的、可直接保存并用于个人账号头像或设备壁纸的图片。,收到符合审美或热门风格的、可直接用作头像或壁纸的图片后，用户满足。,False,0.06,头像简约 / 猫头像 / 五条悟头像 / 微信头像图片男士专用,早安图片大全 最美 → OBTAIN_OCCASION_GREETING_IMAGE / 鸡枞菌图片 → OBTAIN_REFERENCE_IMAGE / 帮我生成几张简单的荷花荷叶 → GENERATE_OR_EDIT_IMAGE,2
OBTAIN_OCCASION_GREETING_IMAGE,获取应景问候图片,用户想要一组已经存在的、可直接保存发送的节日、早安/晚安或祝福场合配图。,收到高清且匹配日期、节气或问候对象的可发送图片后，用户满足。,False,0.05,早安图片大全 最美 / 早上好图片大全 最美 漂亮 新版 / 七一图片高清大图 / 庆七一图片大全,头像简约 → OBTAIN_PERSONAL_DECOR_IMAGE / 鸡枞菌图片 → OBTAIN_REFERENCE_IMAGE / 七月你好文案 → OBTAIN_READY_TO_POST_COPY,2
OBTAIN_REFERENCE_IMAGE,获取说明性/参考图片,用户想要一张已存在的、用于说明某事物外观或形象的图片，如实物、植物、标志、国旗、场景或真实照片。,收到能准确展示目标对象外观的现成图片后，用户满足。,False,0.1,鸡枞菌图片 / 啤酒图片真实照片 / 印度国旗 / 键盘图片 全图,头像简约 → OBTAIN_PERSONAL_DECOR_IMAGE / 早安图片大全 最美 → OBTAIN_OCCASION_GREETING_IMAGE / 诊断证明图片 → REQUEST_RESTRICTED_OR_HARMFUL_CONTENT,2
GENERATE_OR_EDIT_IMAGE,生成或修改图片,用户要求系统绘制、生成一张新图片，或对图片进行修改、修复、去水印、改比例等编辑操作。,收到可保存且符合要求的生成图或编辑后的图片后，用户满足。,False,0.01,帮我生成几张简单的荷花荷叶 / 请帮我画一张图片：BabyFirst小女孩，小男孩，卡通风格，比例为16:9，光线为自然光。 / 能直接发一张修好向下比耶的图吗 / 这两张颜色，脸在自然一点,头像简约 → OBTAIN_PERSONAL_DECOR_IMAGE / 现金图片实拍图 → OBTAIN_REFERENCE_IMAGE / 再短一点 → CONTEXT_DEPENDENT_REVISION_OR_FOLLOWUP,2
OBTAIN_READY_TO_POST_COPY,获取现成可直接发布文案,用户想要一段已经写好的、可直接复制粘贴到朋友圈、聊天或祝福场合的文案、句子或语录。,收到贴合场合与对象、复制即可用的成段文字后，用户满足。,False,0.08,七月第一天发的朋友圈 / 生日文案 / 七月你好文案 / 辞职原因最好的理由,夏天跑步的朋友圈怎么发 → COMPOSE_OR_REVISE_TEXT_ON_DEMAND / 家长寄语怎么写 → LEARN_HOW_TO_WRITE / 再短一点 → CONTEXT_DEPENDENT_REVISION_OR_FOLLOWUP,2
COMPOSE_OR_REVISE_TEXT_ON_DEMAND,现场生成或改写文字内容,用户要求系统当场编写或改写一段文字，包括社交文案、故事或续写，而不是查找已经存在的文本。,收到按指定主题、风格、长度或形式新生成或改写后的文字后，用户满足。,False,0.03,夏天跑步的朋友圈怎么发 / 抖音简介怎么写才容易被别人关注 / 母女合拍文案怎么写 / 送孩子上大学发朋友圈的句子,生日文案 → OBTAIN_READY_TO_POST_COPY / 家长寄语怎么写 → LEARN_HOW_TO_WRITE / 女娲补天的故事 → OBTAIN_STORY_TEXT,2
OBTAIN_READABLE_MANGA,获取漫画免费阅读或下载入口,用户想要一个可打开、在线阅读、下载或进入某漫画平台/App的入口，通常带免费、完整版、下拉式、官网等约束。,拿到能直接阅读目标漫画或进入平台/App的链接或安装入口后，用户满足。,True,0.12,恶人想要抢救一下免费阅读漫画 / 某天成为公主漫画免费阅读下拉式 / 乐可漫画完整版 / 韩漫免费漫画页面在线看漫画下载大结局,百度学术 → NAVIGATE_TO_SITE / 鸡枞菌图片 → OBTAIN_REFERENCE_IMAGE / 七月你好文案 → OBTAIN_READY_TO_POST_COPY,2
OBTAIN_DOCUMENT_TEMPLATE,获取可套用文书模板或范文,用户想要一份可下载、可填写或可提交的正式文书模板、范文或格式样本，如合同、证明、申请书、协议、红头文件等。,收到可直接填写或修改的模板/范文/格式后，用户满足。,True,0.04,离职报告模板 / 收入证明模板 / 合同模板 / 离婚协议书 模板 标准版,入团申请书怎么写 → LEARN_HOW_TO_WRITE / 党员转正大会发言稿 → OBTAIN_ASSIGNED_WRITING_MATERIALS / 2025年安全生产月主题 → LOOK_UP_NUMERIC_OR_OFFICIAL_FACT,2
LEARN_HOW_TO_WRITE,学习某类文字怎么写,用户想要某类文书或评语的写法步骤、结构要点和示例，而不是一份可直接提交的成稿。,收到“怎么写”的步骤/结构加例句、能据此自己写出一份后，用户满足。,False,0.03,入团申请书怎么写 / 个人优势怎么写比较好 / 家长寄语怎么写 / 自我评价怎么写,离职报告模板 → OBTAIN_DOCUMENT_TEMPLATE / 夏天跑步的朋友圈怎么发 → COMPOSE_OR_REVISE_TEXT_ON_DEMAND / 党员转正大会发言稿 → OBTAIN_ASSIGNED_WRITING_MATERIALS,2
OBTAIN_ASSIGNED_WRITING_MATERIALS,获取单位或组织指定写作成稿,用户为完成单位、党组织或学校指定主题的任务，想要发言稿、心得体会、主持词、思想汇报等可直接使用的成稿。,收到符合指定主题、可直接使用或稍改即用的发言稿/心得/主持词/汇报后，用户满足。,False,0.05,党员转正大会发言稿 / 重温入党誓词主持词开场白 / 学前教育法心得体会 / 煤矿事故反思心得体会,离职报告模板 → OBTAIN_DOCUMENT_TEMPLATE / 感恩老师最暖心一段话 → OBTAIN_READY_TO_POST_COPY / 家长寄语怎么写 → LEARN_HOW_TO_WRITE,2
