外层,外层名,对比,a,b,n_a,n_b,内层TVD,同源噪声上界,超出噪声,"差最大的三个内层(b-a, *=区间不含0)"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·头部层,2026搜索,助手头部1k,6282,456,0.1579,0.0521,True,"QUOTE_LOOKUP__3 -15.8pp [-17.3, -13.7]*；QUOTE_LOOKUP__1 +13.5pp [+9.2, +18.0]*；QUOTE_LOOKUP__2 +2.3pp [-2.3, +6.7]"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,界面·随机层,2026搜索随机1w,助手随机1k,1667,79,0.1707,0.1242,True,"QUOTE_LOOKUP__1 +17.1pp [+6.4, +28.2]*；QUOTE_LOOKUP__3 -9.6pp [-12.6, -2.6]*；QUOTE_LOOKUP__2 -7.5pp [-18.6, +3.4]"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·搜索内,2026搜索,2026搜索随机1w,6282,1667,0.0759,0.0278,True,"QUOTE_LOOKUP__1 +7.6pp [+5.3, +10.0]*；QUOTE_LOOKUP__3 -5.0pp [-6.9, -3.1]*；QUOTE_LOOKUP__2 -2.6pp [-5.2, +0.1]"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,深度·助手内,助手头部1k,助手随机1k,456,79,0.1236,0.1237,False,"QUOTE_LOOKUP__2 -12.4pp [-24.0, -0.8]*；QUOTE_LOOKUP__1 +11.2pp [-0.2, +22.9]；QUOTE_LOOKUP__3 +1.2pp [-2.0, +8.0]"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,时间·头部层,2025搜索,2026搜索,5018,6282,0.0267,0.0188,True,"QUOTE_LOOKUP__2 +2.7pp [+0.9, +4.5]*；QUOTE_LOOKUP__3 -2.5pp [-4.0, -1.1]*；QUOTE_LOOKUP__1 -0.1pp [-1.6, +1.3]"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,时间·随机层,2025搜索随机1w,2026搜索随机1w,1049,1667,0.026,0.0382,False,"QUOTE_LOOKUP__1 -2.6pp [-6.1, +0.9]；QUOTE_LOOKUP__2 +2.1pp [-1.7, +5.9]；QUOTE_LOOKUP__3 +0.5pp [-2.2, +3.1]"
QUOTE_LOOKUP,查询可报价品种实时行情与价格,输入方式·头部层,助手头部1k,助手语音头部1k,456,700,0.1369,0.052,True,"QUOTE_LOOKUP__1 -13.7pp [-18.9, -8.5]*；QUOTE_LOOKUP__3 +13.1pp [+9.9, +16.2]*；QUOTE_LOOKUP__2 +0.6pp [-5.0, +6.3]"
PAGE_NAV,打开目标页面或获取官方应用入口,深度·搜索内,2026搜索,2026搜索随机1w,1591,320,0.39,0.0454,True,"PAGE_NAV__1 +39.0pp [+33.3, +44.6]*；PAGE_NAV__2 -39.0pp [-44.6, -33.3]*"
PAGE_NAV,打开目标页面或获取官方应用入口,时间·头部层,2025搜索,2026搜索,1381,1591,0.1099,0.0287,True,"PAGE_NAV__1 -11.0pp [-13.7, -8.3]*；PAGE_NAV__2 +11.0pp [+8.3, +13.7]*"
PAGE_NAV,打开目标页面或获取官方应用入口,时间·随机层,2025搜索随机1w,2026搜索随机1w,338,320,0.0797,0.0785,True,"PAGE_NAV__2 +8.0pp [+0.4, +15.5]*；PAGE_NAV__1 -8.0pp [-15.5, -0.4]*"
FX_CONVERT,查询汇率并换算外币金额,界面·头部层,2026搜索,助手头部1k,717,84,0.0169,0.0895,False,"FX_CONVERT__2 +1.7pp [-6.1, +11.9]；FX_CONVERT__1 -1.7pp [-11.9, +6.1]"
FX_CONVERT,查询汇率并换算外币金额,深度·搜索内,2026搜索,2026搜索随机1w,717,627,0.419,0.0573,True,"FX_CONVERT__1 -41.9pp [-46.5, -37.0]*；FX_CONVERT__2 +41.9pp [+37.0, +46.5]*"
FX_CONVERT,查询汇率并换算外币金额,时间·头部层,2025搜索,2026搜索,985,717,0.1252,0.0436,True,"FX_CONVERT__1 +12.5pp [+8.4, +16.5]*；FX_CONVERT__2 -12.5pp [-16.5, -8.4]*"
FX_CONVERT,查询汇率并换算外币金额,时间·随机层,2025搜索随机1w,2026搜索随机1w,584,627,0.0359,0.0558,False,"FX_CONVERT__2 -3.6pp [-9.0, +1.9]；FX_CONVERT__1 +3.6pp [-1.9, +9.0]"
FX_CONVERT,查询汇率并换算外币金额,输入方式·头部层,助手头部1k,助手语音头部1k,84,74,0.0132,0.1149,False,"FX_CONVERT__1 +1.3pp [-11.3, +13.5]；FX_CONVERT__2 -1.3pp [-13.5, +11.3]"
RESOLVE_BARE_ENTITY,解析裸非可报价名称,界面·头部层,2026搜索,助手头部1k,414,73,0.1987,0.1633,True,"RESOLVE_BARE_ENTITY__4 -11.0pp [-15.2, -3.7]*；RESOLVE_BARE_ENTITY__5 -8.8pp [-17.5, +2.4]；RESOLVE_BARE_ENTITY__1 +7.3pp [+0.2, +17.5]*"
RESOLVE_BARE_ENTITY,解析裸非可报价名称,深度·搜索内,2026搜索,2026搜索随机1w,414,411,0.178,0.0964,True,"RESOLVE_BARE_ENTITY__2 +10.4pp [+4.4, +16.2]*；RESOLVE_BARE_ENTITY__5 -8.3pp [-14.1, -2.5]*；RESOLVE_BARE_ENTITY__4 -7.7pp [-11.8, -3.6]*"
RESOLVE_BARE_ENTITY,解析裸非可报价名称,时间·头部层,2025搜索,2026搜索,725,414,0.0963,0.0857,True,"RESOLVE_BARE_ENTITY__4 +6.0pp [+2.3, +10.1]*；RESOLVE_BARE_ENTITY__6 -3.5pp [-7.3, +0.6]；RESOLVE_BARE_ENTITY__1 -3.3pp [-6.6, +0.3]"
RESOLVE_BARE_ENTITY,解析裸非可报价名称,时间·随机层,2025搜索随机1w,2026搜索随机1w,472,411,0.0833,0.0893,False,"RESOLVE_BARE_ENTITY__3 -6.5pp [-11.7, -1.1]*；RESOLVE_BARE_ENTITY__5 +4.5pp [-0.6, +9.5]；RESOLVE_BARE_ENTITY__2 +2.1pp [-3.9, +8.1]"
