id,query,majority,votes,tier,pv_raw,n_days,daily_cv,in_other_source,legacy_l2,legacy_l3
A0000,"""""",C,CCC,C1_content_free,303748.0,7,0.02760179641679892,False,医疗其它,-
A0002,0-6个月,A,AAA,H1_intake_answer,842.0,4,0.0708220974625918,False,医疗其它,-
A0011,1-2厘米,A,AAA,user,3397.0,7,0.02973357385155481,False,医疗其它,-
A0018,1-2次,A,AAA,H1_intake_answer,14387.0,7,0.048684021591687644,False,医疗其它,-
A0021,1-3厘米,A,AAA,user,2946.0,7,0.053395199191407165,False,医疗其它,-
A0023,1-3天,A,AAA,H1_intake_answer,93971.0,7,0.021973326269616587,False,医疗其它,-
A0028,1-3年,A,AAA,H1_intake_answer,3562.0,7,0.051711271269863,False,医疗其它,-
A0035,1-6个月,A,AAA,H1_intake_answer,24913.0,7,0.06791862628496759,False,医疗其它,-
A0036,1-6小时,A,AAA,H1_intake_answer,5189.0,7,0.07671136491499361,False,医疗其它,-
A0044,10分钟内,A,AAA,user,2552.0,7,0.1308824356713177,False,医疗其它,-
A0045,10岁,A,AAA,H1_intake_answer,449.0,2,0.0066815144766146995,False,医疗其它,-
A0049,12-18岁,A,AAA,H1_intake_answer,502.0,2,0.055776892430278883,False,医疗其它,-
A0053,12小时内,A,AAA,H1_intake_answer,1766.0,7,0.12973955598296433,False,医疗其它,-
A0054,12岁,A,AAA,H1_intake_answer,987.0,4,0.12142424941766003,False,医疗其它,-
A0060,13-27周,A,AAA,H1_intake_answer,2221.0,7,0.09024741875816335,False,医疗其它,-
A0061,13岁,A,AAA,H1_intake_answer,1415.0,6,0.19742628481042834,False,医疗其它,-
A0062,13岁以上,A,AAA,H1_intake_answer,949.0,4,0.12365637948671918,False,疾病知识,儿科-症状
A0063,140-159,A,AAA,user,5534.0,7,0.07335174650237879,False,医疗其它,-
A0070,160-170cm,A,AAA,user,206.0,1,,False,医疗其它,-
A0072,17岁,A,AAA,H1_intake_answer,2237.0,7,0.16775379505170102,False,医疗其它,-
A0074,18-40岁,A,AAA,H1_intake_answer,4868.0,7,0.09116809039414815,False,医疗其它,-
A0076,18-64岁,A,AAA,H1_intake_answer,10927.0,7,0.05994556514645395,False,医疗其它,-
A0089,"1分钟营养自测,看清身体是不是缺铁、缺钙、缺维生素",P,PPP,H3_pushed_suggestion,631.0,3,0.008964903723442757,False,疾病知识,内科-科普
A0091,1周以上,A,AAA,H1_intake_answer,10200.0,7,0.06805093982731053,False,医疗其它,-
A0093,"1周以内,都没有",A,AAA,H1_intake_answer,1651.0,7,0.08755152636253327,False,医疗其它,-
A0105,1年内,A,AAA,H1_intake_answer,5430.0,7,0.06846371745705931,False,医疗其它,-
A0115,2-6小时,A,AAA,H1_intake_answer,1941.0,7,0.12945326140784674,False,医疗其它,-
A0117,2.3-5.6,A,AAA,user,2044.0,7,0.13258587817946488,False,医疗其它,-
A0118,20mg,A,AAA,user,2417.0,7,0.09450404908346376,False,药品保健品,-
A0121,21岁,A,AAA,H1_intake_answer,2051.0,7,0.10845051783744115,False,医疗其它,-
A0126,24岁,A,AAA,H1_intake_answer,2005.0,7,0.06458804725458223,False,医疗其它,-
