domain,source,core,query,added_chars,core_td,wrap_td,same_intent
金融,assistant_top,上证指数,000001上证指数,6,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,人民币,1欧元等于多少人民币,7,其他或无法判定的非金融查询,计算具体金额或利率,False
金融,assistant_top,人民币,1美元等于人民币,5,其他或无法判定的非金融查询,计算具体金额或利率,False
金融,assistant_top,人民币,200万台币=人民币,7,其他或无法判定的非金融查询,计算具体金额或利率,False
金融,assistant_top,新台币,200万新台币,4,查询金融资产实时行情,计算具体金额或利率,False
金融,assistant_top,新台币,200万新台币多少人民币,9,查询金融资产实时行情,计算具体金额或利率,False
金融,assistant_top,新台币,200万新台币多少钱,7,查询金融资产实时行情,计算具体金额或利率,False
金融,assistant_top,今日金价多少一克,2026今日金价多少一克,4,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,黄金价格,2026年9月黄金价格预测,9,查询金融资产实时行情,寻求个股买卖与持有决策建议,False
金融,assistant_top,银行利息,2026年哪个银行利息最高,9,解释金融术语与基础规则,比较同类金融产品并择优,False
金融,assistant_top,银行利息,2026年哪家银行利息最高,9,解释金融术语与基础规则,比较同类金融产品并择优,False
金融,assistant_top,银行利率,2026年哪家银行利率最高,9,查询金融资产实时行情,比较同类金融产品并择优,False
金融,assistant_top,黄金价格,2026年黄金价格预测,7,查询金融资产实时行情,寻求个股买卖与持有决策建议,False
金融,assistant_top,蚂蚁庄园答案,8月29日蚂蚁庄园答案,5,获取每日答题活动答案,获取每日答题活动答案,True
金融,assistant_top,ipo,A股ipo最新名单,6,其他或无法判定的非金融查询,其他或无法判定的非金融查询,True
金融,assistant_top,a股今日大盘,a股今日大盘股市行情,4,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,大盘走势,a股大盘走势分析,4,查询历史价格走势图,查询历史价格走势图,True
金融,assistant_top,股市行情,a股股市行情,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,人民币,一欧元等于多少人民币？,8,其他或无法判定的非金融查询,计算具体金额或利率,False
金融,assistant_top,人民币,一美元等于多少人民币,7,其他或无法判定的非金融查询,计算具体金额或利率,False
金融,assistant_top,人民币,一美元等于多少人民币？,8,其他或无法判定的非金融查询,计算具体金额或利率,False
金融,assistant_top,人民币,一英镑等于多少人民币？,8,其他或无法判定的非金融查询,计算具体金额或利率,False
金融,assistant_top,美股指数,三大美股指数,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,建工股票,上海建工股票,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,上证指数,上证指数未来走势如何,6,查询金融资产实时行情,寻求个股买卖与持有决策建议,False
金融,assistant_top,支付宝,下载支付宝,2,其他或无法判定的非金融查询,查找官方渠道与客服入口,False
金融,assistant_top,黄金价格,世界黄金协会预测黄金价格,8,查询金融资产实时行情,寻求个股买卖与持有决策建议,False
金融,assistant_top,东方财富,东方财富官方网站,4,查询金融资产实时行情,查找官方渠道与客服入口,False
金融,assistant_top,东方财富网,东方财富网官方网页,4,查找官方渠道与客服入口,查找官方渠道与客服入口,True
金融,assistant_top,东方财富网,东方财富网首页,2,查找官方渠道与客服入口,查找官方渠道与客服入口,True
金融,assistant_top,中信证券,中信证券下载app,5,查询金融资产实时行情,查找官方渠道与客服入口,False
金融,assistant_top,中国人寿,中国人寿雇主责任险,5,其他或无法判定的非金融查询,查找官方渠道与客服入口,False
金融,assistant_top,农业银行,中国农业银行,2,其他或无法判定的非金融查询,其他或无法判定的非金融查询,True
金融,assistant_top,中国工商银行,中国工商银行不够三百扣钱,6,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,巨石股票,中国巨石股票,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,中国平安,中国平安股票,2,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,中国平安,中国平安雇主责任险,5,其他或无法判定的非金融查询,查找官方渠道与客服入口,False
金融,assistant_top,建设银行,中国建设银行,2,查找官方渠道与客服入口,查找官方渠道与客服入口,True
金融,assistant_top,神华股票,中国神华股票,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,中国能建,中国能建股票,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,邮政银行,中国邮政银行短信提醒服务收费吗,11,其他或无法判定的非金融查询,判定信贷产品账单与征信规则,False
金融,assistant_top,中国银行,中国银行股票,2,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,京东方a,京东方a股票,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,京东金融,京东金融借钱平台,4,核实金融平台真伪与合法性,核实金融平台真伪与合法性,True
金融,assistant_top,人寿保险,人寿保险app下载,5,其他或无法判定的非金融查询,查找官方渠道与客服入口,False
金融,assistant_top,人民币,人民币兑换日元,4,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,人民币,人民币兑换港币,4,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,人民币,人民币兑日元,3,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,人民币,人民币兑美元,3,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,人民币,人民币多少,2,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,人民币,人民币多少钱,3,其他或无法判定的非金融查询,计算具体金额或利率,False
金融,assistant_top,人民币,人民币换港币,3,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,人民币,人民币汇率,2,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,人民币美元,人民币美元兑换率,3,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,黄金价格,今天的黄金价格,3,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,股市行情,今天股市行情,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,今天股市行情,今天股市行情最新,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,金价多少钱一克,今天金价多少钱一克,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,金价大盘价,今天金价大盘价,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,黄金价格,今天黄金价格,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,黄金价格多少一克,今天黄金价格多少一克,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,上证指数,今日上证指数,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,今日上证指数,今日上证指数多少,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,白银期货,今日伦铝伦铜黄金白银期货价格,10,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,国际金价,今日国际金价,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,大盘指数,今日大盘指数,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,美股最新行情,今日美股最新行情,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,今日股市,今日股市的行情,3,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,股市行情,今日股市行情,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,今日股市行情,今日股市行情最新,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,股票行情,今日股票行情,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,蚂蚁庄园,今日蚂蚁庄园正确答案,6,获取每日答题活动答案,获取每日答题活动答案,True
金融,assistant_top,今日金价多少,今日金价多少1克,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,金价多少一克,今日金价多少一克,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,金价多少钱一克,今日金价多少钱一克,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,金价大盘价,今日金价大盘价,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,金价实时查询,今日金价实时查询,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,今日金价,今日金价是多少,3,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,今日金价走势,今日金价走势如何,2,查询金融资产实时行情,查询历史价格走势图,False
金融,assistant_top,黄金价格,今日黄金价格,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,黄金价格,今明后三天黄金价格预测,7,查询金融资产实时行情,寻求个股买卖与持有决策建议,False
金融,assistant_top,众安保险,众安保险可靠吗,3,核实金融平台真伪与合法性,核实金融平台真伪与合法性,True
金融,assistant_top,伦敦金实时,伦敦金实时行情,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,人民币,值多少人民币,3,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,元保保险,元保保险公司可靠吗,5,核实金融平台真伪与合法性,核实金融平台真伪与合法性,True
金融,assistant_top,股市实时行情,全球股市实时行情,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,全球股市指数,全球股市指数一览,2,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,全球股市行情,全球股市行情一览表,3,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,全球股市行情,全球股市行情指数一览,4,查询金融资产实时行情,查询金融资产实时行情,True
金融,assistant_top,兴业银行,兴业银行股票,2,其他或无法判定的非金融查询,查询金融资产实时行情,False
金融,assistant_top,农业银行,农业银行不够500,5,其他或无法判定的非金融查询,其他或无法判定的非金融查询,True
金融,assistant_top,农业银行,农业银行不满300元,6,其他或无法判定的非金融查询,其他或无法判定的非金融查询,True
金融,assistant_top,农业银行,农业银行凌晨扣费300元怎么取消掉,13,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,农业银行,农业银行凌晨自动扣钱300,9,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,农业银行,农业银行凌晨自动扣钱3001元,11,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,农业银行,农业银行卡uc扣120元,8,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,农业银行,农业银行卡uc扣个个120元怎么回事啊,15,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,农业银行,农业银行卡uc批扣240是怎么回事,13,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,农业银行,农业银行卡可用余额归零怎么解除,11,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,农业银行,农业银行卡扣30块钱是怎么回事,11,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,农业银行,农业银行卡扣50元怎么回事,9,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,农业银行,农业银行卡扣服务费余额不足会怎样,12,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,农业银行,农业银行卡自动代扣,5,其他或无法判定的非金融查询,获取银行或支付账户操作指引,False
金融,assistant_top,农业银行,农业银行卡自动扣80是扣什么,10,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,农业银行,农业银行可用余额1千多怎么回事,11,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,农业银行,农业银行可用余额和账户余额不一致,12,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
金融,assistant_top,农业银行,农业银行客服电话,4,其他或无法判定的非金融查询,查找官方渠道与客服入口,False
金融,assistant_top,农业银行,农业银行扣费余额不足时间久了会怎么样,14,其他或无法判定的非金融查询,处置账户异常与非预期扣款,False
