source,td_l1_name,U01,U02,U03,U04,U05,U06,U07,U08,U09,U10,U11,U12,U13
2026search,仅给出名称的裸实体查询,2,998,6,31,0,2,1,1,83,0,0,2,6
2026search,在两个或几个选项之间给出裁决,0,0,5,90,2,36,16,2,0,0,0,0,0
2026search,处理非健康或无法归入上述意图的残余,14,128,48,119,9,41,7,36,37,0,0,2,14
2026search,对具体行为、搭配或说法给出是否可行的裁决,0,0,11,89,201,7,46,20,0,0,0,0,0
2026search,对正在发生的具体不适做分诊与处置判断,0,0,0,0,1,13,25,0,0,0,0,1,0
2026search,寻找疾病的治疗或缓解方案,0,0,9,31,1,310,378,48,0,0,0,0,0
2026search,查询中医方剂组成、经络穴位与中医理论,0,4,20,126,0,5,0,2,69,0,0,0,0
2026search,查询中药材/食材/茶饮的功效与作用,0,0,8,1702,4,7,2,35,9,0,0,0,1
2026search,查询就医科室、医院/医生导航与挂号入口,14,98,7,13,3,23,2,5,1,0,0,0,0
2026search,查询指标的正常值或参考范围,0,1,127,2,2,0,1,0,2,0,0,0,0
2026search,查询疾病或医学术语的定义、病因与传染性,0,0,22,501,19,4,6,7,5,0,0,0,0
2026search,查询疾病的症状与早期征兆,0,0,0,609,2,0,0,2,69,0,0,1,0
2026search,查询药品用法用量与服用时机,0,0,49,17,0,66,20,0,0,0,0,0,0
2026search,查询药品的功效与作用,0,0,1,1638,4,6,3,7,0,0,0,0,0
2026search,查询诊疗项目的费用、时长与恢复参数,0,0,118,20,0,19,3,8,0,0,0,0,0
2026search,由自述症状直接索取药品或药膏,0,0,0,0,0,1,62,2,0,0,0,0,0
2026search,获取食疗/养生方的做法与搭配,0,0,1,7,0,25,11,29,0,0,0,0,0
2026search,解读用户本人的检查数值或报告分级,0,0,16,300,5,3,44,3,1,0,0,0,0
2026search,解释自身症状的原因,0,1,2,706,0,24,153,18,4,0,0,0,3
2026search,评估疾病的严重程度、预后或时间预期,0,0,21,71,5,1,29,0,0,0,0,0,0
assistant_random,仅给出名称的裸实体查询,0,14,2,12,1,1,3,1,0,1,0,0,5
assistant_random,在两个或几个选项之间给出裁决,0,0,1,4,0,3,16,0,0,0,0,0,1
assistant_random,处理非健康或无法归入上述意图的残余,0,3,19,38,11,5,38,8,6,6,2,1,58
assistant_random,对具体行为、搭配或说法给出是否可行的裁决,0,0,2,34,61,3,75,4,0,1,2,0,6
assistant_random,对正在发生的具体不适做分诊与处置判断,0,0,0,2,0,0,30,0,0,0,0,0,15
assistant_random,寻找疾病的治疗或缓解方案,0,0,1,9,1,14,44,6,0,0,1,0,2
assistant_random,查询中医方剂组成、经络穴位与中医理论,0,0,3,3,0,0,0,1,1,0,0,0,1
assistant_random,查询中药材/食材/茶饮的功效与作用,0,0,5,21,3,1,3,5,0,0,0,0,4
assistant_random,查询就医科室、医院/医生导航与挂号入口,1,2,8,2,5,8,9,4,0,0,0,0,3
assistant_random,查询指标的正常值或参考范围,0,0,5,0,0,0,1,0,1,0,0,0,0
assistant_random,查询疾病或医学术语的定义、病因与传染性,0,0,1,15,2,2,2,1,0,1,0,0,1
assistant_random,查询疾病的症状与早期征兆,0,0,0,11,0,0,5,0,1,0,0,0,1
assistant_random,查询药品用法用量与服用时机,0,0,12,3,0,2,4,1,0,0,0,0,0
assistant_random,查询药品的功效与作用,0,0,3,23,3,0,1,2,0,0,0,0,0
assistant_random,查询诊疗项目的费用、时长与恢复参数,0,0,21,3,0,3,8,2,0,0,0,0,1
assistant_random,由自述症状直接索取药品或药膏,0,0,0,0,0,0,5,1,0,0,0,0,0
assistant_random,获取食疗/养生方的做法与搭配,0,0,0,1,0,3,1,6,0,1,0,0,0
assistant_random,解读用户本人的检查数值或报告分级,0,0,2,4,1,2,38,0,0,0,1,0,10
assistant_random,解释自身症状的原因,0,0,1,33,2,4,41,1,0,0,1,0,4
assistant_random,评估疾病的严重程度、预后或时间预期,0,0,1,7,4,0,12,2,0,0,1,0,0
assistant_top,仅给出名称的裸实体查询,0,167,0,10,0,2,1,0,5,2,0,2,23
assistant_top,在两个或几个选项之间给出裁决,0,0,0,0,0,0,1,0,0,0,0,0,2
assistant_top,处理非健康或无法归入上述意图的残余,5,16,7,27,2,14,12,6,5,8,2,1,65
assistant_top,对具体行为、搭配或说法给出是否可行的裁决,0,0,0,4,7,1,11,3,0,0,0,0,4
assistant_top,对正在发生的具体不适做分诊与处置判断,0,0,0,0,0,0,0,0,0,1,0,0,1
assistant_top,寻找疾病的治疗或缓解方案,0,0,1,4,0,36,30,4,0,2,0,0,2
