new_class,n_total,n_assistant,assistant_share,main_old_class,main_old_share,n_old_classes_feeding
对正在发生的具体不适做分诊与处置判断,146,65,0.4452,寻求疾病的常规治疗方法,0.6543,6
对具体行为、搭配或说法给出是否可行的裁决,1147,478,0.4167,核实健康声称或传言是否属实,0.4245,16
处理非健康或无法归入上述意图的残余,1405,512,0.3644,非健康领域的离域查询,0.2228,20
查询就医科室、医院/医生导航与挂号入口,474,146,0.308,查询就医、购药或问诊入口,0.9421,8
在两个或几个选项之间给出裁决,363,61,0.168,判断食物能否吃、属凉属热及食用影响,0.3775,13
查询诊疗项目的费用、时长与恢复参数,423,68,0.1608,查询检查/手术/就诊的费用、准备与恢复安排,0.5718,11
评估疾病的严重程度、预后或时间预期,285,45,0.1579,评估疾病严重程度、预后与干预必要性,0.7625,9
由自述症状直接索取药品或药膏,152,22,0.1447,求速效根治或特效方案,0.7538,3
获取食疗/养生方的做法与搭配,163,22,0.135,判断食物能否吃、属凉属热及食用影响,0.2766,8
查询药品用法用量与服用时机,293,39,0.1331,索取具体用法用量与服药时间,0.8465,7
寻找疾病的治疗或缓解方案,1789,218,0.1219,求速效根治或特效方案,0.7116,16
解读用户本人的检查数值或报告分级,909,109,0.1199,判读个人检测数值或检查结论,0.77,14
解释自身症状的原因,2151,247,0.1148,解释症状或身体异常的原因,0.9186,14
仅给出名称的裸实体查询,3324,336,0.1011,裸词或缺少动作的健康实体查询,0.9039,13
查询指标的正常值或参考范围,287,24,0.0836,查询指标或生理参数正常范围,0.9544,6
查询中药材/食材/茶饮的功效与作用,3635,280,0.077,查询药/材/食物/保健品功效与主治,0.9353,15
查询疾病的症状与早期征兆,1439,90,0.0625,查询疾病或状态有哪些症状表现,0.874,6
查询中医方剂组成、经络穴位与中医理论,381,22,0.0577,获取可自行操作的中医/康复操作步骤,0.6351,7
查询疾病或医学术语的定义、病因与传染性,1183,67,0.0566,解释医学术语或检查项目含义,0.3978,15
查询药品的功效与作用,3003,105,0.035,查询药/材/食物/保健品功效与主治,0.8916,10
