sid,query,code
d000000,#自恋型人格障碍#,JS
d000001,%4的功能性障碍什么意思,WFPD
d000002,(京诺)瑞舒伐他汀食2个月了第3个月可以换转食(安诺亚)瑞舒伐他汀吗是一样的药,NK_XX
d000003,"(右上叶尖段)纤支镜活检组织,查见肿瘤,待免疫组化检查(ID202611123)。",ZL
d000004,(女/产)孕中孕女,FCK_CK
d000005,",免疫细胞和用来攻击病菌的抗体至要是由什么组成的",QK
d000006,",还能补",WFPD
d000007,- 外用米诺地尔搽剂,PF
d000008,-60肉豆蔻基甘的功效与作用,YS
d000009,". 主动脉及冠脉钙化和我颈动脉斑块是一类问题) 血管壁钙质沉积,就是动脉粥样",NK_XX
d000010,.... 牙疼在饮食上怎么调整,KQ
d000011,.Lissencephaly畸形,NK_SJ
d000012,.吃瑞巴派特片少喝水还是多喝水好呢。。。。。。。。。。。。功能性消化不良,NK_XH
d000013,".天麻,钩藤颗粒,复方丹参片合用功效",ZY
d000014,//乳腺癌术后10个月又发现有硬块是复发吗,ZL
d000015,/2026年8月24日一夜未盖，第二天早上全身疼痛，加上近期做操锻炼可能伤了前胸后背筋骨，現疼痛难忍，不能翻身，服止疼药，贴膏药效果不大，敬请卢主任救我。我年83岁女，5年前摔倒背部12胸椎压缩性骨折，后全愈。,WK_GK
d000016,/^N我发些俩个多月时闻一直,WFPD
d000017,0.004M苄索氯铵滴定液空白滴定消耗大概多少,JC
d000018,0.1%的塔克莫司软膏能抹脖子和脸吗,PF
d000019,0.1-0.2cm肉芽多久能消,PF
d000020,0.25g阿莫西林胶囊一次吃几粒,YP_GENERIC
d000021,0.3g的罗红霉素用法用量,YP_GENERIC
d000022,0.3至0.4厘米的息肉相当于什么那么大,QK
d000023,0.5X0.3㎝脑瘤大吗,WK_SJ
d000024,0.5g阿奇霉素配250ml盐水可以吗,YP_GENERIC
d000025,0.5毫克的甲钴胺可不可以撇开吃,NK_SJ
d000026,0.6*0.5的泡状暗区 隐约见卵黄囊 是孕囊吗,FCK_CK
d000027,052382684290是兴化城中卫生中心的电话吗,JY
d000028,0mega3的功效与作用,YS
d000029,0到3岁疫苗接种表,EK
d000030,0到4岁疫苗接种时间表,EK
d000031,0型与ab型生的孩子是什么血型,QK
d000032,0蔗糖奶粉血糖高可以喝吗,NK_NF
d000033,"1,胃间质瘤,2,营养风险,核分裂像<于5个/50HPF怎么解",ZL
d000034,1. 白豆蔻佛手 乌药,WFPD
d000035,1.2厘米脑膜瘤用手术吗,WK_SJ
d000036,1.4的肺结节，在达州医院能做吗？,WK_XX
d000037,1.5g头孢呋辛钠皮试配制方法,YP_GENERIC
d000038,1.8厘米*1.7厘米的肝血管瘤严重吗,WK_PW
d000039,10000万余颗心顺畅吗,WFPD
d000040,1000毫升的泻药可以一次性喝完吗,NK_XH
d000041,"100ml氯化钠注射液,3g头孢哌酮需要输多长时间",YP_GENERIC
d000042,100ml牛奶含多少胆固醇,YS
d000043,100ml盐水配几支维生素C,YP_GENERIC
d000044,100克熟米饭的热量是多少大卡,YS
d000045,100克红薯🈶多少碳水,YS
d000046,100克肉的热量,YS
d000047,100克莲蓉蛋黄月饼的热量,YS
d000048,100克虾含多少卡路里,YS
d000049,100克车厘子的热量,YS
d000050,100斤瘦5斤明显吗,YS
d000051,102/62血压脉搏64,NK_XX
d000052,10A抗菌的害处和好处,WFPD
d000053,10u hpv病毒,PF_XB
d000054,10一12肋骨骨拆图片,WK_XX
d000055,10个冬枣的热量,YS
d000056,10个月婴儿发烧塞颗退热栓多久可以退烧?,EK
d000057,10个月宝宝的卤门接近闭合正常吗,EK
d000058,10个月的宝宝喂中药吐了怎么办,EK
d000059,10个蒜蓉生蚝多少卡路里,YS
d000060,10个鱼丸的热量,YS
d000061,10克核桃仁脂肪蛋白质热量碳水,YS
d000062,10周岁男孩适合割包皮吗,EK
d000063,10周岁，流清鼻涕，45公斤其它没有不舒服的,EK
d000064,"10小男孩耳朵里面疼,引起太阳穴疼",EK
d000065,10岁儿童能吃复方氨酚烷胺片吗,EK
d000066,10岁女孩500个开和跳消耗多少,YS
d000067,10岁女孩乳房没发育但是下面有分泌物了,EK
d000068,10岁孩子后牙槽肉鼓起来了,EK
d000069,10岁孩子感冒好了鼻子不透气吃什么药效果好,EK
d000070,10岁孩子肋骨疼要检查什么,EK
d000071,10岁孩子膝盖上面那块疼+要看儿科+还是骨科,EK
d000072,10岁孩子落枕脖子疼会胳膊疼没劲吗,EK
d000073,10岁孩子起闷头可以吃牛黄解毒丸么,EK
d000074,10岁孩子还用补充DHA吗,EK
d000075,10岁小孩牙齿掉了一直不长怎么办,EK
d000076,10岁小孩胃肠型感冒吃什么药,EK
d000077,10岁小鸡应该多大,EK
d000078,10岁男孩口臭是什么原因,EK
d000079,10岁男孩正常身高是多少,EK
d000080,10岁男童晚上睡觉前尿不尽,EK
d000081,10岁远视储备视力多少正常,EK
d000082,10斤相当于多少脂肪,YS
d000083,10月1号到7号，火箭军医院应该放假吧,JY
d000084,10月龄婴儿在展馆内喝奶瓶被赶出天气太热晚上睡觉小孩子不穿衣服会肚子着凉吗,EK
d000085,10点睡觉4点半起床是熬夜吗,YS
d000086,10种常见白斑图片,PF
d000087,11.3血糖餐后,NK_NF
d000088,11.5岁的正常身高,EK
d000089,11000千卡相当于减肥几斤,YS
d000090,114网上预约挂号,JY
d000091,119高压79低压,NK_XX
d000092,11个月宝宝吃退烧药吃多少毫升,EK
d000093,"11个月宝宝查出食物不耐受,免疫球蛋白E27.4",EK
d000094,11个月宝宝正常血红蛋白值是多少,EK
d000095,11个月的宝宝夜里哭闹是什么原因,EK
