source,label,rank,query,pv_raw,tier
2025search,裸名人物身份识别,top_pv,陈小江,961536.0,user
2025search,裸名人物身份识别,top_pv,马兴瑞,502916.0,user
2025search,裸名人物身份识别,top_pv,韦韬,170243.0,user
2025search,裸名人物身份识别,top_pv,习近平,66375.0,user
2025search,裸名人物身份识别,top_pv,鹿晗,51718.0,user
2025search,裸名人物身份识别,top_pv,刘晓庆,43466.0,user
2025search,裸名人物身份识别,sample,张子墨,773.0,user
2025search,裸名人物身份识别,sample,田雨,860.0,user
2025search,裸名人物身份识别,sample,流川枫,426.0,user
2025search,裸名人物身份识别,sample,秦俊杰,479.0,user
2025search,裸名人物身份识别,sample,刘奇,556.0,user
2025search,裸名人物身份识别,sample,狄仁杰,1507.0,user
2025search,性化类目浏览或非具体人物浏览,top_pv,美女,32663.0,user
2025search,性化类目浏览或非具体人物浏览,top_pv,美女图片,21127.0,user
2025search,性化类目浏览或非具体人物浏览,top_pv,性感美女图片集,5434.0,user
2025search,性化类目浏览或非具体人物浏览,top_pv,性感美女,3370.0,user
2025search,性化类目浏览或非具体人物浏览,top_pv,泳装美女,2601.0,user
2025search,性化类目浏览或非具体人物浏览,top_pv,女人,2158.0,user
2025search,性化类目浏览或非具体人物浏览,sample,日本美女,656.0,user
2025search,性化类目浏览或非具体人物浏览,sample,杨幂写真,250.0,user
2025search,性化类目浏览或非具体人物浏览,sample,美女比基尼,1857.0,user
2025search,性化类目浏览或非具体人物浏览,sample,李富贵女网红,381.0,user
2025search,性化类目浏览或非具体人物浏览,sample,美女老师,276.0,user
2025search,性化类目浏览或非具体人物浏览,sample,漂亮的秘书,241.0,user
2025search,人事任免事件查询,top_pv,马兴瑞另有任用,28985.0,user
2025search,人事任免事件查询,top_pv,陈小江任新疆党委书记 马兴瑞另有任用,9791.0,user
2025search,人事任免事件查询,top_pv,韦韬任职公示,7415.0,user
2025search,人事任免事件查询,top_pv,新疆书记,7108.0,user
2025search,人事任免事件查询,top_pv,新疆党委书记,5148.0,user
2025search,人事任免事件查询,top_pv,新疆维吾尔自治区党委书记,3970.0,user
2025search,人事任免事件查询,sample,陈小江任新疆党委书记简历,255.0,user
2025search,人事任免事件查询,sample,新疆书记任免,1187.0,user
2025search,人事任免事件查询,sample,新疆书记现任是谁,288.0,user
2025search,人事任免事件查询,sample,陈小江 新疆,2389.0,user
2025search,人事任免事件查询,sample,陈 新疆书记,674.0,user
2025search,人事任免事件查询,sample,荆向辉 东营,221.0,user
2025search,人物近期事件状态查询,top_pv,鹿晗关晓彤宣布最新消息,18283.0,user
2025search,人物近期事件状态查询,top_pv,赵本山最新信息,14355.0,user
2025search,人物近期事件状态查询,top_pv,关晓彤和鹿晗最新消息,6698.0,user
2025search,人物近期事件状态查询,top_pv,鹿晗关晓彤最新消息,5550.0,user
2025search,人物近期事件状态查询,top_pv,赵薇现状最新消息,3941.0,user
2025search,人物近期事件状态查询,top_pv,鹿晗最新消息,3850.0,user
2025search,人物近期事件状态查询,sample,韦韬最新公示,1340.0,user
2025search,人物近期事件状态查询,sample,宋佳二封白玉兰视后,304.0,user
2025search,人物近期事件状态查询,sample,鹿晗生病?,333.0,user
2025search,人物近期事件状态查询,sample,蔡澜遗产如何处理,385.0,user
2025search,人物近期事件状态查询,sample,周杰伦携昆凌观战郑钦文,1514.0,user
2025search,人物近期事件状态查询,sample,鹿晗怎么了那么瘦,292.0,user
2025search,人物档案调阅,top_pv,陈小涛简介,17665.0,user
2025search,人物档案调阅,top_pv,陈小江简历,15161.0,user
2025search,人物档案调阅,top_pv,陈小江简历资料,14426.0,user
2025search,人物档案调阅,top_pv,陈小江个人简历,11575.0,user
2025search,人物档案调阅,top_pv,蔡澜个人资料及简介,10824.0,user
