claim,value,source_table,how_computed
本领域用的运行是 ppl-pool5b/gen01，mode=fast，provider=routed，未 halt，0 个闸门失败,"run_id=ppl-pool5b, generation=1, mode=fast, provider=routed, estimated_cost_usd=4.21, halted=false, gates_failed=0",runs/ppl-pool5b/gen01/run_summary.json,直接读 run_summary.json 的 run_id/generation/mode/llm_usage.provider/llm_usage.estimated_cost_usd/halted 与 state_summary
LLM 调用 240 次，1 次报错，报错角色是 maintainer（2 次调用 1 次错）,"calls=240, errors=1, maintainer.calls=2 errors=1",runs/ppl-pool5b/gen01/run_summary.json: llm_usage / llm_usage.by_role,遍历 by_role 找 errors>0 的角色
语用意图研究员在本次拿到输出（ppl-pool5 gen02 被 Zhipu 拒绝 3/3）,researcher_pragmatic_intents: calls=1 errors=0 output_tokens=15204,runs/ppl-pool5b/gen01/run_summary.json: llm_usage.by_role,直接读；选用理由另见 analysis/pooled5/work/people_run_choice.md
风控哨兵在本次给出 8 条发现,len(risk_report.findings)=8,runs/ppl-pool5b/gen01/tree_naming.json,len(json['risk_report']['findings'])
fast 模式跳过了 kappa / 试点 / 规则-证据比对 / 标注员对称性四道检查,"p2a_pilot_agreement=skipped, p2b_kappa=skipped, p2b_rules_match_their_evidence=skipped, p2b_annotator_symmetry=skipped",runs/ppl-pool5b/gen01/run_summary.json: gates,直接读 gates 各项 status
"金标 2,975/3,000 行由 1 名标注员标注，kappa 缺席","n=2975, n_submitted=3000, n_annotators=1, kappa=null",runs/ppl-pool5b/gen01/gold_agreement.json,直接读 agreement 字段
四道 warned 闸门,p1_minority_language_risk / p1_reference_columns_declared / p5_locator_reaches_the_corpus / p10b_snapshots_share_one_frame = warned,runs/ppl-pool5b/gen01/run_summary.json: gates,直接读
"语料 21,804 行 / 4 个来源，无语音","2025search=9983, 2026search=9982, assistant_top=889, assistant_random=950",analysis/pooled5/work/人物/summary.json; composition.csv,df.groupby('source').size() 于交付 parquet
搜索行占全语料 91.57%，助手行 8.43%,19965/21804=0.91565; 1839/21804=0.08435,analysis/pooled5/deliverables/人物_pooled5_labeled.parquet,按 source 分组计数后求和
清洗：助手头部剔除 111 行（11.10%），带走 33.43% 的原始 PV,"drop_%=11.10, pv_drop_%=33.43",analysis/pooled5/work/人物/composition.csv; cleaning_removed.csv,直接读；cleaning_removed 的 assistant_top 五层相加=111
体系声明 20 个 L1 意图 / 52 条裁决规则，实际只有 19 个 L1 有行,"gates.p2a_taxonomy_shape='20 L1 intents, 52 adjudication rules'; n_classes_td_l1_name=19; df.td_l1.nunique()=19",runs/ppl-pool5b/gen01/run_summary.json; analysis/pooled5/work/人物/summary.json; 交付 parquet,df['td_l1'].nunique() 于交付 parquet
ADULT_OR_LEAKED_CONTENT_SEEKING 实得 0 行，而它 risk=True、expected_share=0.006、n_rules=3,actual_n=0; expected_share=0.006 (=130.8 行); risk=True; n_rules=3,analysis/pooled5/work/人物/class_definitions.csv; 交付 parquet,df.td_l1.value_counts() 中不含该 code；class_definitions.csv 逐列读
该空类自己写的 4 条正例全部在语料里，没有一条被标进该类,"positive_examples 第1条→性化类目浏览或非具体人物浏览(2026search, 叶=查询明星娱乐八卦动态); 第2条→人物近期事件状态查询(2025search, 叶=查询人物图片); 第3条→人物肖像图片获取(2025search, 叶=查询明星娱乐八卦动态); 第4条→私人家世与感情关系查询(2025search+2026search, 叶=查询明星娱乐八卦动态)。四条串本身是索取泄露私密影像的检索词，按任务书第7条不在本表复述原文",analysis/pooled5/work/人物/class_definitions.csv: positive_examples; 交付 parquet,读 class_definitions.csv 中 code=ADULT_OR_LEAKED_CONTENT_SEEKING 行的 positive_examples，按 ' / ' 切分得 4 条串，逐条到交付 parquet 做 query 精确匹配，读回 source / td_l1_name / bu_leaf_name；顺序与该列一致
该空类的 3 条负例全部落在体系指定的位置,明日花绮罗→裸名人物身份识别; 左小青最惊艳的三张照片→人物肖像图片获取; 哪吒图片高清大图→垂类外非人物查询,同上: negative_examples,按 '/' 切分并取 '—' 前的串，精确匹配
PERSON_RECENT_EVENT_LOOKUP 架构师预期 20%，实得 1.61%,expected_share=0.20 (=4360.8 行); actual_n=351; 351/21804=0.0161,analysis/pooled5/work/人物/class_definitions.csv; 交付 parquet,expected_share*21804 对比 value_counts
