bucket,n,label,share
留存(两年都在),6329,查询中药材/食材/茶饮的功效与作用,0.1795
留存(两年都在),6329,仅给出名称的裸实体查询,0.1558
留存(两年都在),6329,查询药品的功效与作用,0.1496
留存(两年都在),6329,解释自身症状的原因,0.0905
留存(两年都在),6329,寻找疾病的治疗或缓解方案,0.0795
留存(两年都在),6329,查询疾病的症状与早期征兆,0.0719
留存(两年都在),6329,查询疾病或医学术语的定义、病因与传染性,0.0566
留存(两年都在),6329,处理非健康或无法归入上述意图的残余,0.0395
留存(两年都在),6329,解读用户本人的检查数值或报告分级,0.0389
留存(两年都在),6329,对具体行为、搭配或说法给出是否可行的裁决,0.022
留存(两年都在),6329,查询就医科室、医院/医生导航与挂号入口,0.0169
留存(两年都在),6329,查询诊疗项目的费用、时长与恢复参数,0.0161
留存(两年都在),6329,查询中医方剂组成、经络穴位与中医理论,0.0155
留存(两年都在),6329,查询指标的正常值或参考范围,0.0144
留存(两年都在),6329,在两个或几个选项之间给出裁决,0.0126
留存(两年都在),6329,查询药品用法用量与服用时机,0.0123
留存(两年都在),6329,评估疾病的严重程度、预后或时间预期,0.0117
留存(两年都在),6329,获取食疗/养生方的做法与搭配,0.0076
留存(两年都在),6329,由自述症状直接索取药品或药膏,0.0055
留存(两年都在),6329,对正在发生的具体不适做分诊与处置判断,0.0036
掉榜(只在2025),3669,仅给出名称的裸实体查询,0.2371
掉榜(只在2025),3669,查询中药材/食材/茶饮的功效与作用,0.1229
掉榜(只在2025),3669,解释自身症状的原因,0.1145
掉榜(只在2025),3669,查询药品的功效与作用,0.0796
掉榜(只在2025),3669,寻找疾病的治疗或缓解方案,0.0793
掉榜(只在2025),3669,查询疾病的症状与早期征兆,0.0575
掉榜(只在2025),3669,查询疾病或医学术语的定义、病因与传染性,0.0529
掉榜(只在2025),3669,处理非健康或无法归入上述意图的残余,0.0512
掉榜(只在2025),3669,解读用户本人的检查数值或报告分级,0.0496
掉榜(只在2025),3669,对具体行为、搭配或说法给出是否可行的裁决,0.0425
掉榜(只在2025),3669,查询诊疗项目的费用、时长与恢复参数,0.0232
掉榜(只在2025),3669,在两个或几个选项之间给出裁决,0.0194
掉榜(只在2025),3669,查询就医科室、医院/医生导航与挂号入口,0.015
掉榜(只在2025),3669,评估疾病的严重程度、预后或时间预期,0.0106
掉榜(只在2025),3669,查询指标的正常值或参考范围,0.0101
掉榜(只在2025),3669,查询中医方剂组成、经络穴位与中医理论,0.0095
掉榜(只在2025),3669,由自述症状直接索取药品或药膏,0.0082
掉榜(只在2025),3669,查询药品用法用量与服用时机,0.0065
掉榜(只在2025),3669,获取食疗/养生方的做法与搭配,0.0055
掉榜(只在2025),3669,对正在发生的具体不适做分诊与处置判断,0.0049
新进(只在2026),3669,查询药品的功效与作用,0.1941
新进(只在2026),3669,查询中药材/食材/茶饮的功效与作用,0.1723
新进(只在2026),3669,解释自身症状的原因,0.0921
新进(只在2026),3669,寻找疾病的治疗或缓解方案,0.0747
新进(只在2026),3669,对具体行为、搭配或说法给出是否可行的裁决,0.0641
新进(只在2026),3669,查询疾病的症状与早期征兆,0.0621
新进(只在2026),3669,查询疾病或医学术语的定义、病因与传染性,0.0561
新进(只在2026),3669,处理非健康或无法归入上述意图的残余,0.0559
新进(只在2026),3669,仅给出名称的裸实体查询,0.0398
新进(只在2026),3669,查询中医方剂组成、经络穴位与中医理论,0.0349
新进(只在2026),3669,解读用户本人的检查数值或报告分级,0.0343
新进(只在2026),3669,查询药品用法用量与服用时机,0.0202
新进(只在2026),3669,在两个或几个选项之间给出裁决,0.0194
新进(只在2026),3669,查询诊疗项目的费用、时长与恢复参数,0.018
新进(只在2026),3669,查询就医科室、医院/医生导航与挂号入口,0.0161
新进(只在2026),3669,评估疾病的严重程度、预后或时间预期,0.0144
新进(只在2026),3669,查询指标的正常值或参考范围,0.012
新进(只在2026),3669,由自述症状直接索取药品或药膏,0.0082
新进(只在2026),3669,获取食疗/养生方的做法与搭配,0.0068
新进(只在2026),3669,对正在发生的具体不适做分诊与处置判断,0.0046
