key,类目,快照,该类该快照条数,可引条数,取法,query,pv_raw
36,医疗恢复与检查时间查询,传统搜索随机1w,349,339,流量最高,做完肠胃镜多久可以正常饮食,270.0
36,医疗恢复与检查时间查询,传统搜索随机1w,349,339,流量最高,检查幽门螺杆菌之前需要注意什么,100.0
36,医疗恢复与检查时间查询,传统搜索随机1w,349,339,流量最高,手瘾五六年还能恢复吗,98.0
36,医疗恢复与检查时间查询,传统搜索随机1w,349,339,随机,手瘾五六年还能恢复吗,98.0
36,医疗恢复与检查时间查询,传统搜索随机1w,349,339,随机,学生尿急尿痛还能憋多久,8.0
36,医疗恢复与检查时间查询,传统搜索随机1w,349,339,随机,肠镜能遗漏息肉吗,2.0
8,查询食物药物能否食用,传统搜索随机1w,215,202,流量最高,取环不能涂指甲油吗,22.0
8,查询食物药物能否食用,传统搜索随机1w,215,202,流量最高,吃中药不能吃萝卜吗,16.0
8,查询食物药物能否食用,传统搜索随机1w,215,202,流量最高,消石片能化解结石吗,14.0
8,查询食物药物能否食用,传统搜索随机1w,215,202,随机,吃阿斯美咳嗽厉害了还能继续吃吗,2.0
8,查询食物药物能否食用,传统搜索随机1w,215,202,随机,人能不能被呛死,2.0
8,查询食物药物能否食用,传统搜索随机1w,215,202,随机,胆结石手术做了半个月能吃什么,2.0
34,查询皮肤黏膜异常症状与处理建议,传统搜索随机1w,571,542,流量最高,硅胶娃娃夹吸太强了会得白血病吗,1884.0
34,查询皮肤黏膜异常症状与处理建议,传统搜索随机1w,571,542,流量最高,闭口性粉刺图片,232.0
34,查询皮肤黏膜异常症状与处理建议,传统搜索随机1w,571,542,流量最高,女性玫瑰糠疹要警惕,52.0
34,查询皮肤黏膜异常症状与处理建议,传统搜索随机1w,571,542,随机,女生生理期有血块,2.0
34,查询皮肤黏膜异常症状与处理建议,传统搜索随机1w,571,542,随机,为什么屁股上会有很多小痘痘,4.0
34,查询皮肤黏膜异常症状与处理建议,传统搜索随机1w,571,542,随机,"怀孕51天,看肚脐眼上有泥巴给扣掉了",2.0
18,血糖与糖尿病管理查询,传统搜索随机1w,209,200,流量最高,糖尿病人能吃南瓜吗,172.0
18,血糖与糖尿病管理查询,传统搜索随机1w,209,200,流量最高,宇头升血糖吗,28.0
18,血糖与糖尿病管理查询,传统搜索随机1w,209,200,流量最高,血糖高吃什么药好,20.0
18,血糖与糖尿病管理查询,传统搜索随机1w,209,200,随机,有没有得过妊娠期糖尿病但是生完以后一辈子不发病不得二型糖尿病的,2.0
18,血糖与糖尿病管理查询,传统搜索随机1w,209,200,随机,羊杂碎升糖指数,2.0
18,血糖与糖尿病管理查询,传统搜索随机1w,209,200,随机,80岁老人餐后血糖10.3高了吗,2.0
30,查询疾病症状与诊疗信息,传统搜索随机1w,645,597,流量最高,胰腺癌怎么引起的,632.0
30,查询疾病症状与诊疗信息,传统搜索随机1w,645,597,流量最高,胰腺炎是大病还是小病,248.0
30,查询疾病症状与诊疗信息,传统搜索随机1w,645,597,流量最高,内痔疮的症状表现有哪些,122.0
30,查询疾病症状与诊疗信息,传统搜索随机1w,645,597,随机,体格优秀是指哪些方面,2.0
30,查询疾病症状与诊疗信息,传统搜索随机1w,645,597,随机,父亲癌症遗传给女儿还是儿子,2.0
30,查询疾病症状与诊疗信息,传统搜索随机1w,645,597,随机,肿瘤标志物高一点点说明什么,2.0
3,查询中医机构、医生与术语,传统搜索随机1w,149,144,流量最高,中医养生0元领取,28.0
3,查询中医机构、医生与术语,传统搜索随机1w,149,144,流量最高,中医治鼻窦炎的方法,16.0
3,查询中医机构、医生与术语,传统搜索随机1w,149,144,流量最高,沈阳市沈河区五里河街道康复中心,14.0
3,查询中医机构、医生与术语,传统搜索随机1w,149,144,随机,马鞍山中医院黄建,2.0
3,查询中医机构、医生与术语,传统搜索随机1w,149,144,随机,西安中医医院邱梦瑶怎么样,4.0
3,查询中医机构、医生与术语,传统搜索随机1w,149,144,随机,省中医刘冬梅主任看的咋样,2.0
9,查询特定健康或用药情形下能否吃某物或做某事,传统搜索随机1w,357,317,流量最高,贫血可以吃柚子吗,12.0
9,查询特定健康或用药情形下能否吃某物或做某事,传统搜索随机1w,357,317,流量最高,精神分裂症治愈后可以考驾照吗,10.0
9,查询特定健康或用药情形下能否吃某物或做某事,传统搜索随机1w,357,317,流量最高,献血多少次可以免费用血,10.0
9,查询特定健康或用药情形下能否吃某物或做某事,传统搜索随机1w,357,317,随机,打掉小孩一个人可以吗,4.0
9,查询特定健康或用药情形下能否吃某物或做某事,传统搜索随机1w,357,317,随机,怀孕期间可以帮老公吹下面吗,4.0
9,查询特定健康或用药情形下能否吃某物或做某事,传统搜索随机1w,357,317,随机,谷维素可以连续吃多久,8.0
24,药品用法与相互作用查询,传统搜索随机1w,601,526,流量最高,依苏帕格鲁肽,68.0
24,药品用法与相互作用查询,传统搜索随机1w,601,526,流量最高,盐酸克林霉素棕榈酸酯分散片,48.0
24,药品用法与相互作用查询,传统搜索随机1w,601,526,流量最高,肝爽颗粒一般吃多久,40.0
24,药品用法与相互作用查询,传统搜索随机1w,601,526,随机,特康唑成分,2.0
24,药品用法与相互作用查询,传统搜索随机1w,601,526,随机,唐柏浮盐酸二甲双胍缓释片(IV),2.0
24,药品用法与相互作用查询,传统搜索随机1w,601,526,随机,酸钙锌吃多久要停一停,14.0
10,查询食物营养与健康影响,传统搜索随机1w,536,527,流量最高,吃柿子七大禁忌,224.0
10,查询食物营养与健康影响,传统搜索随机1w,536,527,流量最高,胆囊炎最佳10食物,76.0
10,查询食物营养与健康影响,传统搜索随机1w,536,527,流量最高,豇豆不熟会中毒吗,44.0
10,查询食物营养与健康影响,传统搜索随机1w,536,527,随机,维生素b2最高摄入量是多少,2.0
10,查询食物营养与健康影响,传统搜索随机1w,536,527,随机,蒸南瓜涨肚子吗,2.0
10,查询食物营养与健康影响,传统搜索随机1w,536,527,随机,减肥期碳水指的哪些食物,8.0
35,呼吸道症状与用药建议查询,传统搜索随机1w,390,377,流量最高,幽门螺杆菌囗腔抑菌膏,248.0
35,呼吸道症状与用药建议查询,传统搜索随机1w,390,377,流量最高,呛水,104.0
35,呼吸道症状与用药建议查询,传统搜索随机1w,390,377,流量最高,孩子隔三差五说肚子疼,72.0
35,呼吸道症状与用药建议查询,传统搜索随机1w,390,377,随机,甲流后鼻涕黄稠要警惕,2.0
35,呼吸道症状与用药建议查询,传统搜索随机1w,390,377,随机,硫化氢中毒口吐白沫,4.0
35,呼吸道症状与用药建议查询,传统搜索随机1w,390,377,随机,妙春郎喷鼻,2.0
26,查询骨科伤病诊疗与康复信息,传统搜索随机1w,443,435,流量最高,印堂在什么位置,432.0
26,查询骨科伤病诊疗与康复信息,传统搜索随机1w,443,435,流量最高,独活寄生丸对腰间盘突出有效吗,134.0
26,查询骨科伤病诊疗与康复信息,传统搜索随机1w,443,435,流量最高,查骨龄挂什么科,88.0
26,查询骨科伤病诊疗与康复信息,传统搜索随机1w,443,435,随机,颈椎病 戴春峰,2.0
26,查询骨科伤病诊疗与康复信息,传统搜索随机1w,443,435,随机,唐苁靠四害,2.0
26,查询骨科伤病诊疗与康复信息,传统搜索随机1w,443,435,随机,宫缩站着还是躺着开指比较快,44.0
33,症状原因查询#33,传统搜索随机1w,283,247,流量最高,眼睛干涩痒什么原因,58.0
33,症状原因查询#33,传统搜索随机1w,283,247,流量最高,连铁是什么器官,30.0
33,症状原因查询#33,传统搜索随机1w,283,247,流量最高,pr是什么医学,22.0
33,症状原因查询#33,传统搜索随机1w,283,247,随机,外阴老是长小疙瘩是什么原因,8.0
33,症状原因查询#33,传统搜索随机1w,283,247,随机,尿有水泡是什么原因,2.0
33,症状原因查询#33,传统搜索随机1w,283,247,随机,儿童LH值是什么,2.0
25,中药与中成药信息查询,传统搜索随机1w,500,474,流量最高,木姜子,1100.0
25,中药与中成药信息查询,传统搜索随机1w,500,474,流量最高,石斛的三个最佳搭配,142.0
25,中药与中成药信息查询,传统搜索随机1w,500,474,流量最高,罗浮苁蓉胶囊,120.0
25,中药与中成药信息查询,传统搜索随机1w,500,474,随机,滋世破壁灵芝孢子粉效果怎么样,2.0
25,中药与中成药信息查询,传统搜索随机1w,500,474,随机,北京同仁堂独活寄生丸,2.0
25,中药与中成药信息查询,传统搜索随机1w,500,474,随机,辣椒酱的制作方法买药修正的好还是北京同仁堂的好,2.0
14,血压问题查询,传统搜索随机1w,135,131,流量最高,喝绿茶能降血压吗,64.0
14,血压问题查询,传统搜索随机1w,135,131,流量最高,动态血压正常值范围,34.0
14,血压问题查询,传统搜索随机1w,135,131,流量最高,散步能降血压不,12.0
14,血压问题查询,传统搜索随机1w,135,131,随机,依托考昔片有高血压病能吃吗,2.0
14,血压问题查询,传统搜索随机1w,135,131,随机,血管内皮因子261高吗,2.0
14,血压问题查询,传统搜索随机1w,135,131,随机,50-60岁血压正常范围舒展压50正常吗,2.0
20,功效作用与副作用查询,传统搜索随机1w,486,468,流量最高,合香珠的功效,562.0
20,功效作用与副作用查询,传统搜索随机1w,486,468,流量最高,非诺贝特胶囊的功效,236.0
20,功效作用与副作用查询,传统搜索随机1w,486,468,流量最高,痔速宁片的功效,232.0
20,功效作用与副作用查询,传统搜索随机1w,486,468,随机,白蔹功效,2.0
20,功效作用与副作用查询,传统搜索随机1w,486,468,随机,头痛粉喝多了有什么危害,2.0
20,功效作用与副作用查询,传统搜索随机1w,486,468,随机,曲优舍曲林为什么便宜,2.0
6,食物药物同食同服查询,传统搜索随机1w,146,93,流量最高,熊胆粉不能和什么一起吃,10.0
6,食物药物同食同服查询,传统搜索随机1w,146,93,流量最高,板栗可以跟柿子一起吃吗,10.0
6,食物药物同食同服查询,传统搜索随机1w,146,93,流量最高,苹果柿子可以一起吃吗,4.0
6,食物药物同食同服查询,传统搜索随机1w,146,93,随机,蛙可以和鱼头一起煮吗,2.0
6,食物药物同食同服查询,传统搜索随机1w,146,93,随机,熊胆粉不能和什么一起吃,10.0
6,食物药物同食同服查询,传统搜索随机1w,146,93,随机,黄豆和蜂蛹可以一起吃吗,2.0
12,病症用药饮食查询,传统搜索随机1w,276,258,流量最高,泌尿感染吃什么药,108.0
12,病症用药饮食查询,传统搜索随机1w,276,258,流量最高,中耳炎用什么药效果快,62.0
12,病症用药饮食查询,传统搜索随机1w,276,258,流量最高,前庭神经炎吃什么药,56.0
12,病症用药饮食查询,传统搜索随机1w,276,258,随机,腓骨骨折吃什么水果好得快,2.0
12,病症用药饮食查询,传统搜索随机1w,276,258,随机,视神经炎吃什么食物好,2.0
12,病症用药饮食查询,传统搜索随机1w,276,258,随机,甲钴胺配什么药对碗管中合症,2.0
28,查询身体不适症状原因,传统搜索随机1w,293,277,流量最高,肩膀疼痛手臂抬不起来怎么治疗最好,34.0
28,查询身体不适症状原因,传统搜索随机1w,293,277,流量最高,颈部右侧有肿块,22.0
28,查询身体不适症状原因,传统搜索随机1w,293,277,流量最高,吹空调会面瘫吗,22.0
28,查询身体不适症状原因,传统搜索随机1w,293,277,随机,排卵期小腹胀痛有下坠感老想拉尿,6.0
28,查询身体不适症状原因,传统搜索随机1w,293,277,随机,跟突然抬不起还疼,6.0
28,查询身体不适症状原因,传统搜索随机1w,293,277,随机,两肋下方隐隐疼痛,2.0
27,肢体不适症状查询,传统搜索随机1w,288,280,流量最高,类风湿手指肿胀如何消除,204.0
27,肢体不适症状查询,传统搜索随机1w,288,280,流量最高,荨麻疹是怕冷还是怕热,152.0
27,肢体不适症状查询,传统搜索随机1w,288,280,流量最高,每天走路最先瘦哪里,126.0
27,肢体不适症状查询,传统搜索随机1w,288,280,随机,身上的关节经常咔咔响,2.0
27,肢体不适症状查询,传统搜索随机1w,288,280,随机,臀部筋膜炎 透热仪后更疼了,6.0
27,肢体不适症状查询,传统搜索随机1w,288,280,随机,手指指甲根部红肿,2.0
32,症状原因查询#32,传统搜索随机1w,380,375,流量最高,嗓子痒痒老想咳嗽怎么回事,74.0
32,症状原因查询#32,传统搜索随机1w,380,375,流量最高,粉色分泌物怎么回事,54.0
32,症状原因查询#32,传统搜索随机1w,380,375,流量最高,扩心病是怎么回事,30.0
32,症状原因查询#32,传统搜索随机1w,380,375,随机,心脏达桥是怎么回事,6.0
32,症状原因查询#32,传统搜索随机1w,380,375,随机,嘴里感觉发麻是怎么回事,2.0
32,症状原因查询#32,传统搜索随机1w,380,375,随机,最近脸上起皮怎么回事,2.0
23,查询物品功效与作用,传统搜索随机1w,100,99,流量最高,芦荟的十大功效与作用,118.0
23,查询物品功效与作用,传统搜索随机1w,100,99,流量最高,南非醉茄功效与作用,60.0
23,查询物品功效与作用,传统搜索随机1w,100,99,流量最高,鲜竹沥液的功效与作用,42.0
23,查询物品功效与作用,传统搜索随机1w,100,99,随机,洋葱生吃和熟吃的功效与作用一样吗,2.0
23,查询物品功效与作用,传统搜索随机1w,100,99,随机,垂盆草性味归经功效与作用,2.0
23,查询物品功效与作用,传统搜索随机1w,100,99,随机,中药材茵陈功效与作用,2.0
1,医院及医生信息查询,传统搜索随机1w,541,488,流量最高,南京市第一医院,304.0
1,医院及医生信息查询,传统搜索随机1w,541,488,流量最高,北京宣武预约挂号,84.0
1,医院及医生信息查询,传统搜索随机1w,541,488,流量最高,上海第二人民医院,40.0
1,医院及医生信息查询,传统搜索随机1w,541,488,随机,巴南区大江医院能不能入职体检呢,2.0
1,医院及医生信息查询,传统搜索随机1w,541,488,随机,去医院取精液总是勃起不了,4.0
1,医院及医生信息查询,传统搜索随机1w,541,488,随机,雅安市第一人民医院是不是大兴医院,2.0
17,查询心脑血管疾病诊疗信息,传统搜索随机1w,275,266,流量最高,如何每天保持好心情,1226.0
17,查询心脑血管疾病诊疗信息,传统搜索随机1w,275,266,流量最高,大脑缺氧怎么改善,60.0
17,查询心脑血管疾病诊疗信息,传统搜索随机1w,275,266,流量最高,脉管炎怎么治疗,44.0
17,查询心脑血管疾病诊疗信息,传统搜索随机1w,275,266,随机,门静脉不收集的静脉是,2.0
17,查询心脑血管疾病诊疗信息,传统搜索随机1w,275,266,随机,脑梗塞每天散步多久,2.0
17,查询心脑血管疾病诊疗信息,传统搜索随机1w,275,266,随机,测心率的手环哪个最准,4.0
11,健康利弊查询,传统搜索随机1w,98,96,流量最高,吃黄精对身体有什么好处,78.0
11,健康利弊查询,传统搜索随机1w,98,96,流量最高,辟谷有什么好处,66.0
