bucket,n,label,share
助手行·在搜索里也出现,224,裸片名或仅带实体类型词的作品查询,0.6295
助手行·在搜索里也出现,224,导航到指定影视站点或平台,0.1161
助手行·在搜索里也出现,224,获取作品的在线播放入口,0.0938
助手行·在搜索里也出现,224,获取片段、台词或混剪等衍生内容,0.0491
助手行·在搜索里也出现,224,下载或安装影视App与排障,0.0491
助手行·在搜索里也出现,224,收看电视频道直播或查询节目表,0.0357
助手行·在搜索里也出现,224,获取成人或限制级内容,0.0134
助手行·在搜索里也出现,224,核实播出信息与集数,0.0045
助手行·在搜索里也出现,224,获取作品的网盘或资源下载渠道,0.0045
助手行·在搜索里也出现,224,查询作品演员表与角色信息,0.0045
助手行·搜索里没有,1713,裸片名或仅带实体类型词的作品查询,0.2726
助手行·搜索里没有,1713,剧情设定讨论与同人假设问答,0.2212
助手行·搜索里没有,1713,获取片段、台词或混剪等衍生内容,0.122
助手行·搜索里没有,1713,获取作品的在线播放入口,0.1197
助手行·搜索里没有,1713,查询剧情梗概或结局剧透,0.0502
助手行·搜索里没有,1713,凭情节片段反查片名,0.0379
助手行·搜索里没有,1713,查询作品演员表与角色信息,0.035
助手行·搜索里没有,1713,核实播出信息与集数,0.0333
助手行·搜索里没有,1713,导航到指定影视站点或平台,0.021
助手行·搜索里没有,1713,处理平台账号或客服问题,0.0175
助手行·搜索里没有,1713,获取作品的网盘或资源下载渠道,0.0152
助手行·搜索里没有,1713,按演职人员反查作品列表,0.0152
助手行·搜索里没有,1713,直达指定集数的播放页,0.0146
助手行·搜索里没有,1713,获取成人或限制级内容,0.0111
助手行·搜索里没有,1713,收看电视频道直播或查询节目表,0.007
助手行·搜索里没有,1713,下载或安装影视App与排障,0.0058
助手行·搜索里没有,1713,获取未删减或未遮挡版本,0.0006
