key,类目,定义,全语料条数,全语料占比%,传统搜索随机1w_条数,传统搜索随机1w_占比%,传统搜索随机1w_95CI低%,传统搜索随机1w_95CI高%,传统搜索随机1w_流量占比%,健康管家随机1w_条数,健康管家随机1w_占比%,健康管家随机1w_95CI低%,健康管家随机1w_95CI高%,健康管家随机1w_流量占比%,传统搜索随机1w_均衡归属%,传统搜索随机1w_指数,传统搜索随机1w_均衡指数,健康管家随机1w_均衡归属%,健康管家随机1w_指数,健康管家随机1w_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,传统搜索随机1w_排名,健康管家随机1w_排名,主导叶,主导叶占比%,体系内风险标注,架构师预估占比,user_need
SYMPTOM_CAUSE_LOOKUP,查询症状或体征的原因,用户描述自己或他人的症状、体征或异常现象，希望系统解释可能的原因和需要警惕的情况，而不是给出具体个人数值判读或治疗步骤。,3459,17.026,1614,16.14,15.432,16.874,11.503,1845,17.885,17.157,18.636,15.945,47.44,0.948,0.9487,52.56,1.0504,1.0513,2,,,健康管家随机1w,传统搜索随机1w,1.745,1.11,1,1,症状原因查询,36.0,否,0.13,收到按可能性排序的常见原因、鉴别线索和就医警示后，用户即满足。
MEDICAL_KNOWLEDGE_LOOKUP,查询医学名词、检查、疫苗或疾病定义,用户在不涉及自身具体数值和个案决策的情况下，询问医学名词、缩写、检查、疫苗、疾病、症状等的一般定义、区别或机制。,2704,13.31,1481,14.81,14.127,15.52,17.105,1223,11.855,11.246,12.493,12.493,55.54,1.1127,1.1108,44.46,0.8907,0.8892,2,,,传统搜索随机1w,健康管家随机1w,2.955,1.25,2,3,查询疾病症状与诊疗信息,21.3,否,0.07,收到准确的通用解释或概念区分后，用户即满足。
TREATMENT_SEEKING,寻求症状或疾病的治疗方案与用药推荐,用户针对自己或家人的症状或疾病，要求系统给出可执行的处理方案、药物推荐或调理方法，常为开放性的怎么办/吃什么药/怎么治。,2369,11.661,1038,10.38,9.797,10.993,12.603,1331,12.902,12.269,13.563,13.041,44.58,0.8902,0.8917,55.42,1.1065,1.1083,2,,,健康管家随机1w,传统搜索随机1w,2.522,1.24,5,2,病症用药饮食查询,21.5,是,0.08,收到带前提的处置选项、自我护理与就医边界，且不作个体化处方，用户即满足。
PRODUCT_INFO_LOOKUP,查询药品、药材、保健品或食物的基本信息与功效,用户点名一个药、中药材、保健品、食材或疗法，想了解它是什么、治什么、成分、副作用、起效时间或配方等结构化信息。,2159,10.627,1160,11.6,10.987,12.242,18.393,999,9.684,9.128,10.27,14.038,54.5,1.0915,1.09,45.5,0.9113,0.91,2,,,传统搜索随机1w,健康管家随机1w,1.916,1.2,3,5,功效作用与副作用查询,34.6,否,0.23,收到该实体的适应证、成分、用法副作用等基本信息，用户即满足。
OWN_CASE_VERDICT,判读个人测量值、检查结果或自身发现,用户提供具体的个人数值、检查检验结果、体征描述或已有诊断，要求系统判定其是否正常、严重、危险，或是否需要进一步检查、治疗或住院。,1860,9.155,688,6.88,6.4,7.393,4.686,1172,11.361,10.763,11.988,9.831,37.72,0.7515,0.7543,62.28,1.2409,1.2457,2,,,健康管家随机1w,传统搜索随机1w,4.481,1.65,6,4,判断身体症状或检查结果是否正常,17.1,是,0.06,收到针对所提供个案数据的对照解读、严重程度判断与下一步行动建议后，用户即满足。
PERMISSION_VERDICT,判断个人情形下能否做某事或吃某物,用户给出自己的身体状态（患病、孕期、术后、用药等），就某个具体食物、活动或单个产品询问是否可以食用、使用或进行，期待一个针对本人情形的允许与否判定。,1436,7.068,650,6.5,6.033,7.0,4.13,786,7.619,7.123,8.147,6.855,46.04,0.9196,0.9207,53.96,1.0779,1.0793,2,,,健康管家随机1w,传统搜索随机1w,1.119,1.17,7,6,查询特定健康或用药情形下能否吃某物或做某事,32.2,是,0.09,收到针对其情形的明确裁决（可以/不可以/分情况）及理由和注意事项后，用户即满足。
PROVIDER_NAVIGATION_AND_ADMIN,就医导航、机构核实与医疗行政事务,用户寻找医院、科室、医生、药店等资源，或询问价格、报销、健康证办理、医保等医疗行政流程，期待机构事实信息、价格区间或政策规定。,1337,6.581,1093,10.93,10.333,11.557,10.579,244,2.365,2.089,2.677,2.043,82.21,1.6608,1.6442,17.79,0.3594,0.3558,2,,,传统搜索随机1w,健康管家随机1w,8.565,4.62,4,11,医院及医生信息查询,44.2,否,0.05,收到机构事实、就诊指引、费用区间或行政办理规定后，用户即满足。
DIAGNOSIS_PROGNOSIS_VERDICT,判定疾病可能性、病情走向与预后,用户基于症状或不带个人数值的情况询问是否患某病、某病是什么类型、能否治愈、会不会恶化、还能活多久或是否会传染，期待可能性判断和预后边界。,1269,6.246,499,4.99,4.58,5.434,3.432,770,7.464,6.973,7.987,8.542,40.07,0.7989,0.8013,59.93,1.195,1.1987,2,,,健康管家随机1w,传统搜索随机1w,2.474,1.5,8,7,查询疾病症状与诊疗信息,25.9,是,0.05,收到基于所给信息的可能性判断、确诊或复查路径及预后边界，且不下终局诊断，用户即满足。
EFFICACY_VERDICT,验证药物、偏方或疗法的有效性,用户询问某具体药物、偏方、保健品、食物或疗法对某个目的或病症是否有效、能否治疗、能否替代，期待有效与否的判定而非功效列举。,818,4.026,414,4.14,3.767,4.548,3.026,404,3.916,3.559,4.308,3.815,51.39,1.0282,1.0278,48.61,0.9726,0.9722,2,,,传统搜索随机1w,健康管家随机1w,0.224,1.06,9,8,查询食物营养与健康影响,16.9,是,0.04,收到有效/无效/证据不足的判定、证据等级与替代方案后，用户即满足。
INTERACTION_VERDICT,判断药物、食物、酒类之间的相互作用,用户询问两种及以上药物、药与食物、药与酒、或保健品之间能否同时使用、需要间隔多久、是否解药性或冲突，期待风险判定。,558,2.747,290,2.9,2.589,3.247,1.678,268,2.598,2.308,2.923,2.207,52.75,1.0558,1.0549,47.25,0.9459,0.9451,2,,,传统搜索随机1w,健康管家随机1w,0.302,1.12,10,10,食物药物同食同服查询,38.4,是,0.04,收到明确的能/不能/需间隔多久判定和相互作用解释后，用户即满足。
