key,类目,a,b,k_a,k_b,n_a,n_b,占比_a%,占比_b%,差_pp,低_pp,高_pp,显著,类型
BARE_ENTITY_LOOKUP,仅给出名称的裸实体查询,2025搜索,2026搜索,1856,1132,9998,9998,18.564,11.322,-7.241,-8.225,-6.258,True,共有
CARE_LOGISTICS_COST_DURATION,查询诊疗项目的费用、时长与恢复参数,2025搜索,2026搜索,187,168,9998,9998,1.87,1.68,-0.19,-0.559,0.177,False,共有
CARE_ROUTING_AND_NAVIGATION,查询就医科室、医院/医生导航与挂号入口,2025搜索,2026搜索,162,166,9998,9998,1.62,1.66,0.04,-0.314,0.394,False,共有
DISEASE_DEFINITION_CAUSE,查询疾病或医学术语的定义、病因与传染性,2025搜索,2026搜索,552,564,9998,9998,5.521,5.641,0.12,-0.517,0.757,False,共有
DISEASE_SYMPTOM_LIST,查询疾病的症状与早期征兆,2025搜索,2026搜索,666,683,9998,9998,6.661,6.831,0.17,-0.526,0.866,False,共有
DOSAGE_USAGE,查询药品用法用量与服用时机,2025搜索,2026搜索,102,152,9998,9998,1.02,1.52,0.5,0.19,0.815,True,共有
DRUG_EFFICACY_LOOKUP,查询药品的功效与作用,2025搜索,2026搜索,1239,1659,9998,9998,12.392,16.593,4.201,3.227,5.175,True,共有
EPISODE_TRIAGE,对正在发生的具体不适做分诊与处置判断,2025搜索,2026搜索,41,40,9998,9998,0.41,0.4,-0.01,-0.19,0.17,False,共有
FEASIBILITY_CLAIM_VERDICT,对具体行为、搭配或说法给出是否可行的裁决,2025搜索,2026搜索,295,374,9998,9998,2.951,3.741,0.79,0.292,1.291,True,共有
FOOD_THERAPY_PREPARATION,获取食疗/养生方的做法与搭配,2025搜索,2026搜索,68,73,9998,9998,0.68,0.73,0.05,-0.185,0.285,False,共有
HERB_FOOD_EFFICACY_LOOKUP,查询中药材/食材/茶饮的功效与作用,2025搜索,2026搜索,1587,1768,9998,9998,15.873,17.684,1.81,0.775,2.846,True,共有
NORMAL_RANGE_LOOKUP,查询指标的正常值或参考范围,2025搜索,2026搜索,128,135,9998,9998,1.28,1.35,0.07,-0.248,0.388,False,共有
OPTION_ADJUDICATION,在两个或几个选项之间给出裁决,2025搜索,2026搜索,151,151,9998,9998,1.51,1.51,0.0,-0.34,0.34,False,共有
OUT_OF_DOMAIN_OR_UNCLASSIFIABLE,处理非健康或无法归入上述意图的残余,2025搜索,2026搜索,438,455,9998,9998,4.381,4.551,0.17,-0.403,0.744,False,共有
PERSONAL_RESULT_INTERPRETATION,解读用户本人的检查数值或报告分级,2025搜索,2026搜索,428,372,9998,9998,4.281,3.721,-0.56,-1.105,-0.017,True,共有
PROGNOSIS_SEVERITY,评估疾病的严重程度、预后或时间预期,2025搜索,2026搜索,113,127,9998,9998,1.13,1.27,0.14,-0.163,0.445,False,共有
SYMPTOM_CAUSE_EXPLANATION,解释自身症状的原因,2025搜索,2026搜索,993,911,9998,9998,9.932,9.112,-0.82,-1.634,-0.006,True,共有
SYMPTOM_TO_PRODUCT,由自述症状直接索取药品或药膏,2025搜索,2026搜索,65,65,9998,9998,0.65,0.65,0.0,-0.226,0.226,False,共有
TCM_THEORY_AND_FORMULAS,查询中医方剂组成、经络穴位与中医理论,2025搜索,2026搜索,133,226,9998,9998,1.33,2.26,0.93,0.564,1.303,True,共有
TREATMENT_SEEKING,寻找疾病的治疗或缓解方案,2025搜索,2026搜索,794,777,9998,9998,7.942,7.772,-0.17,-0.917,0.576,False,共有
BARE_ENTITY_LOOKUP,仅给出名称的裸实体查询,2025搜索,助手头部1k,1856,212,9998,958,18.564,22.129,3.566,0.935,6.404,True,共有
CARE_LOGISTICS_COST_DURATION,查询诊疗项目的费用、时长与恢复参数,2025搜索,助手头部1k,187,18,9998,958,1.87,1.879,0.009,-0.735,1.108,False,共有
CARE_ROUTING_AND_NAVIGATION,查询就医科室、医院/医生导航与挂号入口,2025搜索,助手头部1k,162,73,9998,958,1.62,7.62,6.0,4.46,7.868,True,共有
DISEASE_DEFINITION_CAUSE,查询疾病或医学术语的定义、病因与传染性,2025搜索,助手头部1k,552,21,9998,958,5.521,2.192,-3.329,-4.215,-2.114,True,共有
DISEASE_SYMPTOM_LIST,查询疾病的症状与早期征兆,2025搜索,助手头部1k,666,54,9998,958,6.661,5.637,-1.025,-2.411,0.687,False,共有
DOSAGE_USAGE,查询药品用法用量与服用时机,2025搜索,助手头部1k,102,3,9998,958,1.02,0.313,-0.707,-1.006,-0.078,True,共有
DRUG_EFFICACY_LOOKUP,查询药品的功效与作用,2025搜索,助手头部1k,1239,34,9998,958,12.392,3.549,-8.843,-10.04,-7.335,True,共有
EPISODE_TRIAGE,对正在发生的具体不适做分诊与处置判断,2025搜索,助手头部1k,41,2,9998,958,0.41,0.209,-0.201,-0.412,0.358,False,共有
FEASIBILITY_CLAIM_VERDICT,对具体行为、搭配或说法给出是否可行的裁决,2025搜索,助手头部1k,295,30,9998,958,2.951,3.132,0.181,-0.812,1.522,False,共有
FOOD_THERAPY_PREPARATION,获取食疗/养生方的做法与搭配,2025搜索,助手头部1k,68,4,9998,958,0.68,0.418,-0.263,-0.575,0.404,False,共有
HERB_FOOD_EFFICACY_LOOKUP,查询中药材/食材/茶饮的功效与作用,2025搜索,助手头部1k,1587,157,9998,958,15.873,16.388,0.515,-1.811,3.09,False,共有
NORMAL_RANGE_LOOKUP,查询指标的正常值或参考范围,2025搜索,助手头部1k,128,13,9998,958,1.28,1.357,0.077,-0.535,1.049,False,共有
OPTION_ADJUDICATION,在两个或几个选项之间给出裁决,2025搜索,助手头部1k,151,3,9998,958,1.51,0.313,-1.197,-1.528,-0.554,True,共有
OUT_OF_DOMAIN_OR_UNCLASSIFIABLE,处理非健康或无法归入上述意图的残余,2025搜索,助手头部1k,438,170,9998,958,4.381,17.745,13.364,11.037,15.94,True,共有
PERSONAL_RESULT_INTERPRETATION,解读用户本人的检查数值或报告分级,2025搜索,助手头部1k,428,15,9998,958,4.281,1.566,-2.715,-3.457,-1.644,True,共有
PROGNOSIS_SEVERITY,评估疾病的严重程度、预后或时间预期,2025搜索,助手头部1k,113,8,9998,958,1.13,0.835,-0.295,-0.765,0.531,False,共有
SYMPTOM_CAUSE_EXPLANATION,解释自身症状的原因,2025搜索,助手头部1k,993,48,9998,958,9.932,5.01,-4.922,-6.274,-3.251,True,共有
SYMPTOM_TO_PRODUCT,由自述症状直接索取药品或药膏,2025搜索,助手头部1k,65,8,9998,958,0.65,0.835,0.185,-0.263,1.001,False,共有
TCM_THEORY_AND_FORMULAS,查询中医方剂组成、经络穴位与中医理论,2025搜索,助手头部1k,133,6,9998,958,1.33,0.626,-0.704,-1.122,0.058,False,共有
TREATMENT_SEEKING,寻找疾病的治疗或缓解方案,2025搜索,助手头部1k,794,79,9998,958,7.942,8.246,0.305,-1.367,2.286,False,共有
BARE_ENTITY_LOOKUP,仅给出名称的裸实体查询,2025搜索,助手随机1k,1856,40,9998,998,18.564,4.008,-14.556,-15.861,-12.964,True,共有
CARE_LOGISTICS_COST_DURATION,查询诊疗项目的费用、时长与恢复参数,2025搜索,助手随机1k,187,38,9998,998,1.87,3.808,1.937,0.877,3.335,True,共有
CARE_ROUTING_AND_NAVIGATION,查询就医科室、医院/医生导航与挂号入口,2025搜索,助手随机1k,162,42,9998,998,1.62,4.208,2.588,1.476,4.038,True,共有
DISEASE_DEFINITION_CAUSE,查询疾病或医学术语的定义、病因与传染性,2025搜索,助手随机1k,552,25,9998,998,5.521,2.505,-3.016,-3.944,-1.772,True,共有
DISEASE_SYMPTOM_LIST,查询疾病的症状与早期征兆,2025搜索,助手随机1k,666,18,9998,998,6.661,1.804,-4.858,-5.689,-3.725,True,共有
DOSAGE_USAGE,查询药品用法用量与服用时机,2025搜索,助手随机1k,102,22,9998,998,1.02,2.204,1.184,0.409,2.309,True,共有
DRUG_EFFICACY_LOOKUP,查询药品的功效与作用,2025搜索,助手随机1k,1239,32,9998,998,12.392,3.206,-9.186,-10.324,-7.754,True,共有
EPISODE_TRIAGE,对正在发生的具体不适做分诊与处置判断,2025搜索,助手随机1k,41,47,9998,998,0.41,4.709,4.299,3.141,5.8,True,共有
FEASIBILITY_CLAIM_VERDICT,对具体行为、搭配或说法给出是否可行的裁决,2025搜索,助手随机1k,295,188,9998,998,2.951,18.838,15.887,13.556,18.45,True,共有
FOOD_THERAPY_PREPARATION,获取食疗/养生方的做法与搭配,2025搜索,助手随机1k,68,12,9998,998,0.68,1.202,0.522,-0.022,1.421,False,共有
HERB_FOOD_EFFICACY_LOOKUP,查询中药材/食材/茶饮的功效与作用,2025搜索,助手随机1k,1587,42,9998,998,15.873,4.208,-11.665,-12.968,-10.07,True,共有
NORMAL_RANGE_LOOKUP,查询指标的正常值或参考范围,2025搜索,助手随机1k,128,7,9998,998,1.28,0.701,-0.579,-1.012,0.188,False,共有
OPTION_ADJUDICATION,在两个或几个选项之间给出裁决,2025搜索,助手随机1k,151,25,9998,998,1.51,2.505,0.995,0.152,2.182,True,共有
OUT_OF_DOMAIN_OR_UNCLASSIFIABLE,处理非健康或无法归入上述意图的残余,2025搜索,助手随机1k,438,195,9998,998,4.381,19.539,15.158,12.78,17.761,True,共有
PERSONAL_RESULT_INTERPRETATION,解读用户本人的检查数值或报告分级,2025搜索,助手随机1k,428,58,9998,998,4.281,5.812,1.531,0.177,3.202,True,共有
PROGNOSIS_SEVERITY,评估疾病的严重程度、预后或时间预期,2025搜索,助手随机1k,113,27,9998,998,1.13,2.705,1.575,0.706,2.792,True,共有
SYMPTOM_CAUSE_EXPLANATION,解释自身症状的原因,2025搜索,助手随机1k,993,87,9998,998,9.932,8.717,-1.215,-2.92,0.781,False,共有
SYMPTOM_TO_PRODUCT,由自述症状直接索取药品或药膏,2025搜索,助手随机1k,65,6,9998,998,0.65,0.601,-0.049,-0.42,0.669,False,共有
