外层,a,b,n_a,n_b,内层TVD,同源噪声上界,超出噪声,a主导内层,a主导占比%,b主导内层,b主导占比%,主导是否相同
查询医学名词、检查、疫苗或疾病定义,传统搜索随机1w,健康管家随机1w,1481,1223,0.1195,0.0937,True,查询疾病症状与诊疗信息,20.53,查询疾病症状与诊疗信息,22.32,True
查询医学名词、检查、疫苗或疾病定义,传统搜索随机1w,健康管家Top1w,1481,2460,0.2329,0.0753,True,查询疾病症状与诊疗信息,20.53,查询疾病症状与诊疗信息,35.65,True
查询医学名词、检查、疫苗或疾病定义,健康管家随机1w,健康管家Top1w,1223,2460,0.1964,0.0785,True,查询疾病症状与诊疗信息,22.32,查询疾病症状与诊疗信息,35.65,True
判断个人情形下能否做某事或吃某物,传统搜索随机1w,健康管家随机1w,650,786,0.0862,0.1043,False,查询特定健康或用药情形下能否吃某物或做某事,33.08,查询特定健康或用药情形下能否吃某物或做某事,31.42,True
判断个人情形下能否做某事或吃某物,传统搜索随机1w,健康管家Top1w,650,365,0.1166,0.1253,False,查询特定健康或用药情形下能否吃某物或做某事,33.08,查询特定健康或用药情形下能否吃某物或做某事,35.62,True
判断个人情形下能否做某事或吃某物,健康管家随机1w,健康管家Top1w,786,365,0.1647,0.1244,True,查询特定健康或用药情形下能否吃某物或做某事,31.42,查询特定健康或用药情形下能否吃某物或做某事,35.62,True
查询症状或体征的原因,传统搜索随机1w,健康管家随机1w,1614,1845,0.0915,0.0625,True,症状原因查询,37.86,症状原因查询,34.36,True
查询症状或体征的原因,传统搜索随机1w,健康管家Top1w,1614,916,0.1779,0.0768,True,症状原因查询,37.86,症状原因查询,50.0,True
查询症状或体征的原因,健康管家随机1w,健康管家Top1w,1845,916,0.2043,0.0758,True,症状原因查询,34.36,症状原因查询,50.0,True
寻求症状或疾病的治疗方案与用药推荐,传统搜索随机1w,健康管家随机1w,1038,1331,0.1,0.0913,True,病症用药饮食查询,23.03,病症用药饮食查询,20.29,True
寻求症状或疾病的治疗方案与用药推荐,传统搜索随机1w,健康管家Top1w,1038,1317,0.1639,0.0941,True,病症用药饮食查询,23.03,病症用药饮食查询,28.25,True
寻求症状或疾病的治疗方案与用药推荐,健康管家随机1w,健康管家Top1w,1331,1317,0.1728,0.0891,True,病症用药饮食查询,20.29,病症用药饮食查询,28.25,True
验证药物、偏方或疗法的有效性,传统搜索随机1w,健康管家随机1w,414,404,0.1596,0.1554,True,查询食物营养与健康影响,21.01,中药与中成药信息查询,17.82,False
验证药物、偏方或疗法的有效性,传统搜索随机1w,健康管家Top1w,414,229,0.2506,0.178,True,查询食物营养与健康影响,21.01,药品用法与相互作用查询,19.21,False
验证药物、偏方或疗法的有效性,健康管家随机1w,健康管家Top1w,404,229,0.2231,0.1798,True,中药与中成药信息查询,17.82,药品用法与相互作用查询,19.21,False
查询药品、药材、保健品或食物的基本信息与功效,传统搜索随机1w,健康管家随机1w,1160,999,0.0858,0.0792,True,功效作用与副作用查询,33.36,功效作用与副作用查询,36.14,True
查询药品、药材、保健品或食物的基本信息与功效,传统搜索随机1w,健康管家Top1w,1160,3474,0.1997,0.0592,True,功效作用与副作用查询,33.36,功效作用与副作用查询,44.3,True
查询药品、药材、保健品或食物的基本信息与功效,健康管家随机1w,健康管家Top1w,999,3474,0.1393,0.0633,True,功效作用与副作用查询,36.14,功效作用与副作用查询,44.3,True
获取结构图示、位置或流程视频,传统搜索随机1w,健康管家随机1w,178,119,0.1367,0.1955,False,查询骨科伤病诊疗与康复信息,51.69,查询骨科伤病诊疗与康复信息,51.26,True
获取结构图示、位置或流程视频,传统搜索随机1w,健康管家Top1w,178,115,0.3901,0.2088,True,查询骨科伤病诊疗与康复信息,51.69,查询疾病症状与诊疗信息,33.91,False
获取结构图示、位置或流程视频,健康管家随机1w,健康管家Top1w,119,115,0.3155,0.2395,True,查询骨科伤病诊疗与康复信息,51.26,查询疾病症状与诊疗信息,33.91,False
判读个人测量值、检查结果或自身发现,传统搜索随机1w,健康管家随机1w,688,1172,0.1133,0.1013,True,判断身体症状或检查结果是否正常,20.35,解读个人健康指标与用药疑问,16.3,False
判读个人测量值、检查结果或自身发现,传统搜索随机1w,健康管家Top1w,688,417,0.2907,0.1274,True,判断身体症状或检查结果是否正常,20.35,查询化验检查指标含义与异常原因,36.93,False
判读个人测量值、检查结果或自身发现,健康管家随机1w,健康管家Top1w,1172,417,0.3173,0.1234,True,解读个人健康指标与用药疑问,16.3,查询化验检查指标含义与异常原因,36.93,False
判断药物、食物、酒类之间的相互作用,传统搜索随机1w,健康管家随机1w,290,268,0.1362,0.1305,True,食物药物同食同服查询,43.79,食物药物同食同服查询,32.46,True
判断药物、食物、酒类之间的相互作用,传统搜索随机1w,健康管家Top1w,290,118,0.1417,0.1609,False,食物药物同食同服查询,43.79,食物药物同食同服查询,36.44,True
判断药物、食物、酒类之间的相互作用,健康管家随机1w,健康管家Top1w,268,118,0.1178,0.178,False,食物药物同食同服查询,32.46,食物药物同食同服查询,36.44,True
查询具体药物的用法、剂量与疗程,传统搜索随机1w,健康管家随机1w,229,322,0.1634,0.1378,True,药品用法与相互作用查询,51.97,药品用法与相互作用查询,60.56,True
查询具体药物的用法、剂量与疗程,传统搜索随机1w,健康管家Top1w,229,471,0.2051,0.1252,True,药品用法与相互作用查询,51.97,药品用法与相互作用查询,67.3,True
查询具体药物的用法、剂量与疗程,健康管家随机1w,健康管家Top1w,322,471,0.1203,0.1128,True,药品用法与相互作用查询,60.56,药品用法与相互作用查询,67.3,True
就医导航、机构核实与医疗行政事务,传统搜索随机1w,健康管家随机1w,1093,244,0.3925,0.1279,True,医院及医生信息查询,48.49,医院及医生信息查询,25.0,True
就医导航、机构核实与医疗行政事务,传统搜索随机1w,健康管家Top1w,1093,217,0.5771,0.1402,True,医院及医生信息查询,48.49,医疗恢复与检查时间查询,39.17,False
就医导航、机构核实与医疗行政事务,健康管家随机1w,健康管家Top1w,244,217,0.3014,0.1861,True,医院及医生信息查询,25.0,医疗恢复与检查时间查询,39.17,False
判定疾病可能性、病情走向与预后,传统搜索随机1w,健康管家随机1w,499,770,0.144,0.1185,True,查询疾病症状与诊疗信息,22.85,查询疾病症状与诊疗信息,27.92,True
判定疾病可能性、病情走向与预后,传统搜索随机1w,健康管家Top1w,499,637,0.2994,0.1189,True,查询疾病症状与诊疗信息,22.85,查询疾病症状与诊疗信息,44.9,True
判定疾病可能性、病情走向与预后,健康管家随机1w,健康管家Top1w,770,637,0.2312,0.1096,True,查询疾病症状与诊疗信息,27.92,查询疾病症状与诊疗信息,44.9,True
无指代追问与拍照实物识别,传统搜索随机1w,健康管家随机1w,127,194,0.3172,0.2563,True,查询骨科伤病诊疗与康复信息,14.17,查询食物营养与健康影响,12.37,False
无指代追问与拍照实物识别,传统搜索随机1w,健康管家Top1w,127,51,0.3202,0.3634,False,查询骨科伤病诊疗与康复信息,14.17,解答月经避孕怀孕相关疑问,11.76,False
无指代追问与拍照实物识别,健康管家随机1w,健康管家Top1w,194,51,0.2707,0.3505,False,查询食物营养与健康影响,12.37,解答月经避孕怀孕相关疑问,11.76,False
比较两个或多个实体的异同或优劣,传统搜索随机1w,健康管家随机1w,217,224,0.1688,0.1907,False,药品用法与相互作用查询,25.35,药品用法与相互作用查询,29.91,True
比较两个或多个实体的异同或优劣,传统搜索随机1w,健康管家Top1w,217,186,0.2665,0.2035,True,药品用法与相互作用查询,25.35,药品用法与相互作用查询,43.55,True
比较两个或多个实体的异同或优劣,健康管家随机1w,健康管家Top1w,224,186,0.2419,0.1946,True,药品用法与相互作用查询,29.91,药品用法与相互作用查询,43.55,True
急性事件与意外暴露的分诊处理,传统搜索随机1w,健康管家随机1w,59,66,0.1595,0.3383,False,查询皮肤黏膜异常症状与处理建议,38.98,查询皮肤黏膜异常症状与处理建议,34.85,True
急性事件与意外暴露的分诊处理,传统搜索随机1w,健康管家Top1w,59,91,0.2947,0.2887,True,查询皮肤黏膜异常症状与处理建议,38.98,查询皮肤黏膜异常症状与处理建议,48.35,True
急性事件与意外暴露的分诊处理,健康管家随机1w,健康管家Top1w,66,91,0.2859,0.28,True,查询皮肤黏膜异常症状与处理建议,34.85,查询皮肤黏膜异常症状与处理建议,48.35,True
推算怀孕、排卵、验孕或预产时间窗,传统搜索随机1w,健康管家随机1w,38,51,0.065,0.2018,False,解答月经避孕怀孕相关疑问,76.32,解答月经避孕怀孕相关疑问,70.59,True
推算怀孕、排卵、验孕或预产时间窗,传统搜索随机1w,健康管家Top1w,38,32,0.1842,0.176,True,解答月经避孕怀孕相关疑问,76.32,解答月经避孕怀孕相关疑问,87.5,True
推算怀孕、排卵、验孕或预产时间窗,健康管家随机1w,健康管家Top1w,51,32,0.2353,0.2201,True,解答月经避孕怀孕相关疑问,70.59,解答月经避孕怀孕相关疑问,87.5,True
计算健康相关数值,传统搜索随机1w,健康管家随机1w,49,50,0.069,0.2308,False,查询食物营养与健康影响,55.1,查询食物营养与健康影响,56.0,True
查询术后、伤后或治疗后的恢复时间线,传统搜索随机1w,健康管家随机1w,133,218,0.1062,0.1622,False,医疗恢复与检查时间查询,55.64,医疗恢复与检查时间查询,61.47,True
查询术后、伤后或治疗后的恢复时间线,传统搜索随机1w,健康管家Top1w,133,124,0.2517,0.1588,True,医疗恢复与检查时间查询,55.64,医疗恢复与检查时间查询,80.65,True
查询术后、伤后或治疗后的恢复时间线,健康管家随机1w,健康管家Top1w,218,124,0.1918,0.1454,True,医疗恢复与检查时间查询,61.47,医疗恢复与检查时间查询,80.65,True
