event_day,query_1st_category,original_query,wise_pv,_snapshot,_row_in_snapshot
20250701,医疗,荔枝的功效作用与主治,27253,20250701,0
20250701,医疗,hpv是什么东西,20147,20250701,1
20250701,医疗,血压正常是多少标准,19181,20250701,2
20250701,医疗,马齿苋的作用和功效,16334,20250701,3
20250701,医疗,血糖正常值范围 最新标准2025,15763,20250701,4
20250701,医疗,紫苏叶的功效与作用与主治,15233,20250701,5
20250701,医疗,甲钴胺片的功效和作用,13890,20250701,6
20250701,医疗,六味地黄丸的作用和功效,12882,20250701,7
20250701,医疗,黄精药材有什么功效,12734,20250701,8
20250701,医疗,火龙果的作用与功效,12551,20250701,9
20250701,医疗,黄芪的功效与作用,12521,20250701,10
20250701,医疗,黄皮果的功效与作用图片,12323,20250701,11
20250701,医疗,茯苓的功效作用与主治,12151,20250701,12
20250701,医疗,榴莲的功效和营养价值,11375,20250701,13
20250701,医疗,中暑的症状表现,10812,20250701,14
20250701,医疗,麦冬的功效与作用和主治,10713,20250701,15
20250701,医疗,陈皮的功效作用与主治,10627,20250701,16
20250701,医疗,牙疼怎么止疼最快,10593,20250701,17
20250701,医疗,车前草的作用和功能主治,10461,20250701,18
20250701,医疗,秋葵的功效与作用及营养,10142,20250701,19
20250701,医疗,百香果的功效和作用,9973,20250701,20
20250701,医疗,牙龈肿痛怎么消炎最快最有效,9828,20250701,21
20250701,医疗,艾滋病初期有哪些症状,9818,20250701,22
20250701,医疗,甲状腺的症状有哪些表现,9810,20250701,23
20250701,医疗,口腔溃疡怎么治最快有效药,9779,20250701,24
20250701,医疗,李子的功效与作用,9770,20250701,25
20250701,医疗,藿香正气水的功效与作用,9768,20250701,26
20250701,医疗,黄芪的功效与作用的功能与主治,9429,20250701,27
20250701,医疗,布洛芬缓释胶囊的功效与作用,9342,20250701,28
20250701,医疗,bmi体重指数怎么计算,9216,20250701,29
20250701,医疗,抑郁症的症状有哪些表现,9081,20250701,30
20250701,医疗,糖尿病的症状有哪些表现,9007,20250701,31
20250701,医疗,金银花的功效作用与主治,8845,20250701,32
20250701,医疗,五味子的功效与作用,8695,20250701,33
20250701,医疗,人体结构器官位置图,8604,20250701,34
20250701,医疗,舌苔厚白是什么原因引起的,8600,20250701,35
20250701,医疗,西洋参的功效与作用、三种人不宜吃、和什么搭配泡水好,8579,20250701,36
20250701,医疗,西洋参的功效和作用,8569,20250701,37
20250701,医疗,党参的功效与作用,8326,20250701,38
20250701,医疗,"荨麻疹是什么原因引起的,怎么根治",8231,20250701,39
20250701,医疗,桃子的功效与作用,8186,20250701,40
20250701,医疗,甲亢有哪些症状和表现,8174,20250701,41
20250701,医疗,左氧氟沙星的作用与功效,8131,20250701,42
20250701,医疗,黄芪,7981,20250701,43
20250701,医疗,乌灵参,7952,20250701,44
20250701,医疗,蒲公英泡水喝功效与主治,7881,20250701,45
20250701,医疗,梅毒的症状和图片,7849,20250701,46
20250701,医疗,归脾丸的作用与功能主治,7805,20250701,47
20250701,医疗,天麻的功效作用与主治,7744,20250701,48
20250701,医疗,百合的功效与作用,7723,20250701,49
20250701,医疗,藏红花的作用与功能主治,7714,20250701,50
20250701,医疗,龙胆泻肝丸的功效与主治,7655,20250701,51
20250701,医疗,他达拉非片的作用及功效,7651,20250701,52
20250701,医疗,JXX,7649,20250701,53
20250701,医疗,尿酸高的症状,7632,20250701,54
20250701,医疗,沙棘原浆的功效与作用,7610,20250701,55
20250701,医疗,心梗的前兆都有哪些症状,7587,20250701,56
20250701,医疗,叶酸片的功效与作用,7564,20250701,57
20250701,医疗,阿莫西林的功效与作用,7519,20250701,58
20250701,医疗,甘草的功效与作用,7478,20250701,59
20250701,医疗,手足口病症状初期图片,7449,20250701,60
20250701,医疗,"身体出现几个现象,多半是肝在“求救”,提醒:应该去医院检查了",7282,20250701,61
