source,label,n,distinct,hhi_strings,top1_pv_share,top5_pv_share
2025search,获取现成可直接发布文案,1201,1201,0.0008326394671107411,0.13094646411262664,0.23092285029967055
2025search,进入指定网站或电子报刊页面,323,323,0.003095975232198143,0.21459379124705102,0.3911961255053576
2025search,获取个人装饰用图（头像/壁纸）,630,630,0.001587301587301587,0.11734316849627004,0.24504870211293275
2025search,获取应景问候图片,334,334,0.002994011976047905,0.0978113321832056,0.2913464606531932
2025search,获取漫画免费阅读或下载入口,1137,1137,0.0008795074758135443,0.041643281519264004,0.14295392116382624
2025search,获取说明性/参考图片,2317,2317,0.00043159257660768235,0.027123238488466022,0.08456332465667354
2025search,获取故事或典故全文/梗概,389,389,0.0025706940874035992,0.0996169335035851,0.18528631765052544
2025search,查询词语或概念的含义,1411,1411,0.0007087172218284907,0.02379074582030955,0.08139015663328326
2025search,学习某类文字怎么写,256,256,0.00390625,0.08881202504789704,0.2697149323012434
2025search,依赖前文的修改或追问,193,193,0.005181347150259068,0.09067680010482866,0.27293127170281073
2025search,索取露骨或性化内容,93,93,0.010752688172043013,0.16321980999416952,0.334568028260795
2025search,获取可套用文书模板或范文,571,571,0.0017513134851138358,0.021716616977875407,0.09615565667660442
2025search,查询官方政策法规或合规原文,312,312,0.003205128205128204,0.043705735979072284,0.13408409366426338
2025search,获取单位或组织指定写作成稿,273,273,0.003663003663003664,0.036207103431725465,0.14406347492200625
2025search,现场生成或改写文字内容,72,72,0.013888888888888888,0.13050333535476047,0.36858702243784125
2025search,查询具体数字或年度主题,211,211,0.0047393364928909965,0.03740857317542627,0.13987454994225676
2025search,补全或解释给定句子,191,191,0.005235602094240838,0.04331855604813173,0.1420202659911336
2025search,索取受限、欺骗性或有害内容,52,52,0.01923076923076923,0.10241016270773515,0.33524754198207607
2025search,倾诉并寻求情绪支持,19,19,0.05263157894736842,0.19990984899707012,0.5735857561415372
2025search,生成或修改图片,3,3,0.3333333333333333,0.40980735551663755,1.0
2026search,进入指定网站或电子报刊页面,378,378,0.0026455026455026445,0.23610726293797413,0.3729790850749958
2026search,获取个人装饰用图（头像/壁纸）,668,668,0.0014970059880239524,0.11659861106971477,0.22638967541951058
2026search,获取漫画免费阅读或下载入口,1647,1647,0.0006071645415907712,0.045000158876425916,0.12271297384894031
2026search,获取应景问候图片,469,469,0.002132196162046908,0.07373021767696968,0.22969633777066792
2026search,依赖前文的修改或追问,192,192,0.005208333333333335,0.17148051273489529,0.43003691542842304
2026search,获取说明性/参考图片,2447,2447,0.00040866366979975486,0.025686177400321614,0.09100525218433395
2026search,获取单位或组织指定写作成稿,174,174,0.005747126436781611,0.19925850792207342,0.34465391207023194
2026search,查询词语或概念的含义,1197,1197,0.000835421888053467,0.03031756587338792,0.11138244175778653
2026search,获取现成可直接发布文案,981,981,0.0010193679918450564,0.025539694223552265,0.11606593380072643
2026search,获取可套用文书模板或范文,441,441,0.002267573696145125,0.05609790406526938,0.15228583485722322
2026search,获取故事或典故全文/梗概,422,422,0.0023696682464454982,0.06173074785204949,0.18452522750011913
2026search,学习某类文字怎么写,187,187,0.005347593582887701,0.12991076602155524,0.2939313168771971
2026search,索取受限、欺骗性或有害内容,54,54,0.018518518518518514,0.23857254567427313,0.5274756522357291
2026search,现场生成或改写文字内容,80,80,0.012500000000000004,0.17162471395881007,0.39827335136259623
2026search,查询官方政策法规或合规原文,229,229,0.0043668122270742364,0.06181250713660411,0.16522665854679708
2026search,查询具体数字或年度主题,175,175,0.005714285714285713,0.07807822545026255,0.19281542916032782
2026search,索取露骨或性化内容,95,95,0.010526315789473679,0.12259615384615383,0.3001492042440318
2026search,补全或解释给定句子,129,129,0.007751937984496124,0.054370840895341804,0.1795220810647308
2026search,倾诉并寻求情绪支持,25,25,0.04,0.17394115745231167,0.5253798900743615
2026search,生成或修改图片,5,5,0.20000000000000004,0.3489932885906041,1.0
assistant_top,查询词语或概念的含义,32,32,0.03125,0.08956986224346358,0.3542310936182176
assistant_top,依赖前文的修改或追问,377,377,0.0026525198938992037,0.052268201887282484,0.14651624023107013
assistant_top,获取现成可直接发布文案,267,267,0.003745318352059924,0.02699639795252038,0.10063404461483369
assistant_top,获取漫画免费阅读或下载入口,4,4,0.25,0.27398615232443124,1.0
assistant_top,倾诉并寻求情绪支持,6,6,0.16666666666666669,0.23675310033821872,0.8802142051860201
assistant_top,学习某类文字怎么写,13,13,0.07692307692307694,0.477183978578601,0.7165569563762134
assistant_top,索取露骨或性化内容,32,32,0.03125,0.09343260632056002,0.30502164852506775
assistant_top,获取说明性/参考图片,42,42,0.023809523809523805,0.11990083389677712,0.4094699530805008
assistant_top,获取可套用文书模板或范文,5,5,0.20000000000000004,0.32551460028721874,1.0
assistant_top,获取单位或组织指定写作成稿,1,1,1.0,1.0,1.0
assistant_top,现场生成或改写文字内容,6,6,0.16666666666666669,0.2766057196436943,0.8752930145335207
assistant_top,生成或修改图片,47,47,0.02127659574468084,0.19243467981901924,0.4328455549667794
assistant_top,获取个人装饰用图（头像/壁纸）,13,13,0.07692307692307694,0.1872675888740146,0.6481481481481481
assistant_top,补全或解释给定句子,1,1,1.0,1.0,1.0
assistant_top,获取应景问候图片,2,2,0.5,0.5116514690982776,1.0
assistant_top,进入指定网站或电子报刊页面,1,1,1.0,1.0,1.0
assistant_top,获取故事或典故全文/梗概,1,1,1.0,1.0,1.0
assistant_random,依赖前文的修改或追问,245,245,0.004081632653061226,0.06802721088435378,0.1394557823129252
assistant_random,获取说明性/参考图片,61,61,0.01639344262295082,0.09589041095890408,0.20547945205479443
assistant_random,查询词语或概念的含义,40,40,0.025000000000000005,0.125,0.2708333333333333
assistant_random,补全或解释给定句子,15,15,0.06666666666666667,0.1666666666666667,0.4444444444444446
assistant_random,查询具体数字或年度主题,6,6,0.16666666666666669,0.2857142857142857,0.8571428571428571
assistant_random,索取受限、欺骗性或有害内容,5,5,0.20000000000000004,0.3333333333333333,1.0
assistant_random,获取现成可直接发布文案,138,138,0.007246376811594202,0.2345679012345679,0.3127572016460905
assistant_random,查询官方政策法规或合规原文,9,9,0.1111111111111111,0.11111111111111112,0.5555555555555556
assistant_random,倾诉并寻求情绪支持,224,224,0.004464285714285714,0.01716738197424893,0.051502145922746795
assistant_random,进入指定网站或电子报刊页面,6,6,0.16666666666666669,0.2857142857142857,0.8571428571428571
assistant_random,现场生成或改写文字内容,87,87,0.011494252873563223,0.04950495049504949,0.14851485148514848
assistant_random,获取故事或典故全文/梗概,12,12,0.08333333333333334,0.08333333333333336,0.4166666666666668
assistant_random,索取露骨或性化内容,20,20,0.05000000000000002,0.4090909090909092,0.6590909090909093
assistant_random,获取应景问候图片,5,5,0.20000000000000004,0.2,1.0
assistant_random,获取个人装饰用图（头像/壁纸）,5,5,0.20000000000000004,0.3333333333333333,1.0
assistant_random,学习某类文字怎么写,6,6,0.16666666666666669,0.16666666666666666,0.8333333333333334
assistant_random,获取可套用文书模板或范文,8,8,0.125,0.22222222222222224,0.6666666666666667
assistant_random,生成或修改图片,35,35,0.028571428571428567,0.09523809523809525,0.2857142857142857
assistant_random,获取单位或组织指定写作成稿,14,14,0.07142857142857142,0.13333333333333336,0.4000000000000001
assistant_random,获取漫画免费阅读或下载入口,12,12,0.08333333333333334,0.13333333333333336,0.5333333333333334
