claim,value,source_table,how_computed
教育语料总行数（清洗后）,21799,analysis/pooled5/work/教育/summary.json,summary.json 的 n_rows；等于 sources 四项之和 9989+9981+859+970
各来源行数,2025search=9989 / 2026search=9981 / assistant_top=859 / assistant_random=970,analysis/pooled5/work/教育/summary.json,summary.json['sources']；与 parquet 的 df.source.value_counts() 一致
助手行占语料比例,8.39%（1829/21799）,analysis/pooled5/work/教育/summary.json,(859+970)/21799
搜索行占语料比例,91.61%（19970/21799）,analysis/pooled5/work/教育/summary.json,(9989+9981)/21799=0.9161。任务书说的 87% 是五领域合计口径：全 pooled5 语料搜索行 99925/111423=89.68%（分母含 2000 行语音），教育单领域为 91.61%
L1 意图类数,20,analysis/pooled5/work/教育/summary.json,summary.json 的 n_classes_td_l1_name；亦可 df.td_l1_name.nunique()
交付叶数 / 家族数,38 / 21,analysis/pooled5/work/教育/summary.json,n_classes_bu_leaf_name=38、n_classes_bu_family_final=21
裁决规则条数 / 可执行触发条数,57 / 56,runs/edu-pool5/gen01/taxonomy_v2.json,taxonomy_v2.json['rule_conflicts']['n_rules']=57、['n_with_executable_trigger']=56；run_summary.json gates.p2a_taxonomy_shape.message 同样写 57
被判定不可执行的触发条件数,17,runs/edu-pool5/gen01/taxonomy_v2.json,taxonomy_v2.json['rules_vs_evidence']['n_triggers_rejected']=17。其中 rejected_triggers 只具名列出 12 条，另有 rejected_triggers_truncated=5 未具名。具名 12 条为 R_BARE_NAME_VS_PORTAL / R_GOV_PORTAL_VS_PROCESS / R_CAMPUS_VS_GOV_PORTAL / R_TIER_VS_DELIBERATION / R_SCORE_VS_RESULT / R_PRONUNCIATION_VS_OTHERS / R_STROKE_VS_OTHERS / R_GROUP_VS_STRUCTURE / R_CLASSICAL_VS_MEANING / R_IDIOM_MEANING_VS_ZODIAC / R_TRANSLATION_TOOL_VS_LOOKUP / R_TRANSLATION_LOOKUP_VS_NOISE。后两条是翻译类的边界规则，正文 §2(b) 与 §7⑤ 的立论建立在翻译类划法上，必须连带报出
词面规则 / 语义规则条数,39 / 18,runs/edu-pool5/gen01/taxonomy_v2.json,rules_vs_evidence.n_lexical_rules=39、n_semantic_rules=18
运行模式与提供方,mode=fast；llm_usage.provider=routed,runs/edu-pool5/gen01/run_summary.json,run_summary.json 顶层 mode 字段与 llm_usage.provider 字段
kappa 状态,未测量（skipped，非 1.0）,runs/edu-pool5/gen01/run_summary.json,gates.p2b_kappa.status=skipped；message 说明 fast 模式单标注员 a 标注 3000 行、覆盖率 100%、无第二份独立判读
叶层留出复现率,0.9516,runs/edu-pool5/gen01/metrics_panel.json,metrics_panel.json['table']['rows'] 中 subject=leaves 的 heldout_reproduction。注意 gates.p6_heldout_reproduction 报的是 99.0%（n=4360），量的不是同一个对象，两个数不要混用
叶层盲评连贯度均值 / 低于3.0的叶数,3.769 / 4 个（52 叶中 8%）,runs/edu-pool5/gen01/metrics_panel.json,subject=leaves 的 coherence=3.769；低于3.0的计数见 run_summary.json gates.p7_coherence.message
定位K的参照系触及簇比例 / 行覆盖,reach=0.60 / row_coverage=0.4222,runs/edu-pool5/gen01/granularity.json,granularity.json['triangulation']['locator_reach']['phrasing_groups']；对应 gates.p5_locator_reaches_the_corpus.status=warned
家族层定案 K,12（由 intent_alignment_ami 定位，稳定性下限0.55，无候选被否决）,runs/edu-pool5/gen01/granularity.json,triangulation.chosen_family_k=12、locator=intent_alignment_ami、n_rejected_as_unstable=0
少数文种占比告警,16.7%,runs/edu-pool5/gen01/run_summary.json,gates.p1_minority_language_risk.message
researcher_pragmatic_intents 角色失败,3 次调用 / 3 次报错 / 0 token,runs/edu-pool5/gen01/run_summary.json,"llm_usage.by_role.researcher_pragmatic_intents: calls=3, errors=3, input_tokens=0, output_tokens=0"
唯一以助手行为主的类（但非助手独有）,"完成中小学学科作业与写作任务，assistant_share=0.5294（342/646）；但该类另有 304 行（47.1%）来自搜索（2025 174 + 2026 130），只能说""重心在助手""，不能说""由助手行造出来""",analysis/pooled5/work/教育/taxonomy_delta_newclass_mix.csv,该表 new_class=完成中小学学科作业与写作任务 行的 n_assistant/n_total=342/646=0.5294；taxonomy_delta_summary.csv 的 classes_majority_assistant=1.0 亦为同一事实
作业类主要由哪个老类转来,获取教材与学习辅助材料 52.3%，共 8 个老类汇入,analysis/pooled5/work/教育/taxonomy_delta_newclass_mix.csv,同行 main_old_class / main_old_share=0.523 / n_old_classes_feeding=8
残余类的助手占比,0.294（920/3129）,analysis/pooled5/work/教育/taxonomy_delta_newclass_mix.csv,new_class=无意图或上下文依赖的残余查询 行
助手占比排 3-6 位的类,查询职业资格与成人学历提升 0.1696 / 按结构约束列举字词 0.125 / 查询官方教务与考试办事流程 0.1143 / 进行升学与择校志愿决策咨询 0.1097,analysis/pooled5/work/教育/taxonomy_delta_newclass_mix.csv,按 assistant_share 降序第 3–6 行
助手占比为 0 的类,查询考试成绩与出分动态，assistant_share=0.0（207 行全部来自搜索）,analysis/pooled5/work/教育/taxonomy_delta_newclass_mix.csv,该表最后一行；与 diffs_td_l1_name.csv 中该类在两个 assistant 来源上 k_b=0 一致
加助手行前后同批搜索行的 AMI(td),0.7437（匹配 19969 行）,analysis/pooled5/work/教育/../taxonomy_delta_summary.csv,analysis/pooled5/work/taxonomy_delta_summary.csv，domain=教育 行的 AMI_td 与 matched_search_rows
AMI(bu) / NMI / ARI,0.7126 / 0.7447 / 0.6991,analysis/pooled5/work/taxonomy_delta_summary.csv,同上行 AMI_bu / NMI_td / ARI_td
参照对照（单点，非带宽）：同数据两次运行,"AMI_td=0.7742、AMI_bu=0.6873（fin02 vs fin03，金融域 9999 行、类数 19→16）。仅一个数据点，无离散度，且与教育（19969 行、类数 20→20）不同域不同类数；AMI 对类数不对称敏感，故不构成""带宽""",analysis/pooled5/work/taxonomy_delta_summary.csv,该表第二行 domain=对照·同数据两次运行(fin02/fin03)；由 p5_taxonomy_delta.py 的 reproducibility_baseline() 在 runs/fin02、runs/fin03 的 labels_full.csv 上按 query 内联后计算
结论（已降级）：AMI 与唯一的重跑对照同量级，但本数据不足以判定划分是否被助手行改变,"AMI_td 0.744 略低于对照 0.774；AMI_bu 0.713 高于对照 0.687。参照系不是 1.0，故 0.74 不读作""变了很多""；但单点对照不能支持""效果小到无法与重跑噪声区分""。要判定需教育域多次重跑的 AMI 噪声分布",analysis/pooled5/work/taxonomy_delta_summary.csv,两行直接比较，无额外计算
老类被拆成三类,查询汉字书写与词语运用 n=822 → 笔顺 46% / 组词 39% / 结构列举 8%,analysis/pooled5/work/教育/taxonomy_delta_crosstab.csv,该表列 查询汉字书写与词语运用 的列和=822；377/822=45.9%、317/822=38.6%、68/822=8.3%
老残余桶被重读为翻译,其他或意图不可辨 n=4808 → 启动翻译工具 59%（2828 行）/ 残余 33%（1585 行）,analysis/pooled5/work/教育/taxonomy_delta_crosstab.csv,该列列和 4808；2828/4808=58.8%、1585/4808=33.0%
新翻译类的来源构成,3936 行 ← 其他或意图不可辨 72% / 查询词语成语概念含义 20%,analysis/pooled5/work/教育/taxonomy_delta_crosstab.csv,行 启动翻译工具或查询英汉词句 的行和=3936；2828/3936=71.9%、791/3936=20.1%
老类被拆散重分,获取教材与学习辅助材料 n=423 → 残余40%/作业38%/古诗文9%；查询升学与考试时间节点 n=228 → 升学决策52%/出分动态31%,analysis/pooled5/work/教育/taxonomy_delta_crosstab.csv,对应两列的列和与占比：170/423、159/423、39/423；119/228、71/228
未变动的骨架,裸校名→按裸校名 97%（4493/4635）、院校层次→判定层次 98%（393/403）、猜生肖→求生肖 97%（423/435）、读音拼音→读音 96%（2329/2422）、政府平台→招考门户 86%（682/793）,analysis/pooled5/work/教育/taxonomy_delta_crosstab.csv,每列取最大单元格 / 该列列和
TVD 时间线 2025→2026,0.0953（Cramér V=0.1161，15 个显著类）,analysis/pooled5/work/教育/contrast_summary_td_l1_name.csv,a=2025search b=2026search 行的 tvd/cramers_v/n_sig_classes
TVD 界面线 2026搜索→助手头部,0.6426（V=0.4501，14 个显著类，3 个 receded）,analysis/pooled5/work/教育/contrast_summary_td_l1_name.csv,a=2026search b=assistant_top 行
TVD 深度线 助手头部→助手随机,0.2598（V=0.3019，8 个显著类，2 个 emergent）,analysis/pooled5/work/教育/contrast_summary_td_l1_name.csv,a=assistant_top b=assistant_random 行
TVD 界面+深度线,0.5994（V=0.4760，15 个显著类）,analysis/pooled5/work/教育/contrast_summary_td_l1_name.csv,a=2026search b=assistant_random 行
界面差异是时间差异的倍数,6.74 倍（0.6426/0.0953）,analysis/pooled5/work/教育/contrast_summary_td_l1_name.csv,两行 tvd 相除
时间线·查询汉字或词语读音,"10.07%→13.42%，Δ=+3.34pp [+2.45,+4.24]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2025search & b=2026search & label=查询汉字或词语读音 & sig=True，读 share_a/share_b/diff_pp/lo_pp/hi_pp（share 乘 100）
时间线·启动翻译工具或查询英汉词句,"21.01%→18.4%，Δ=-2.61pp [-3.71,-1.50]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2025search & b=2026search & label=启动翻译工具或查询英汉词句 & sig=True，读 share_a/share_b/diff_pp/lo_pp/hi_pp（share 乘 100）
时间线·按裸校名检索院校信息,"23.8%→21.48%，Δ=-2.32pp [-3.48,-1.15]",analysis/pooled5/work/教育/diffs_td_l1_name.csv,筛 a=2025search & b=2026search & label=按裸校名检索院校信息 & sig=True，读 share_a/share_b/diff_pp/lo_pp/hi_pp（share 乘 100）
